date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200820,TX,562559,3984510,NaN,5635,NaN,1979,NaN,NaN,NaN,431960,A,08/20/2020 16:40,2020-08-20T16:40:00Z,08/20 12:40,10793,NaN,2020-08-20T16:40:00Z,4547069,NaN,NaN,562559,NaN,NaN,NaN,NaN,335184,26337,308847,NaN,NaN,NaN,NaN,NaN,18883,2781,48,5303,24577,4547069,4547069,29880,4547069,234,0,0302f7400cc5c4eae3ce539c8b8acedeff96cdc4,0,0,0,0,0,NaN
20200819,TX,557256,3959933,NaN,5974,NaN,2107,NaN,NaN,NaN,424685,A,08/19/2020 17:40,2020-08-19T17:40:00Z,08/19 13:40,10559,NaN,2020-08-19T17:40:00Z,4517189,NaN,NaN,557256,NaN,NaN,NaN,NaN,333355,25995,307360,NaN,NaN,NaN,NaN,NaN,18620,2764,48,7024,9520,4517189,4517189,16544,4517189,309,0,f1946726e9ab0c49e3b6601c818a8d568b293eb5,0,0,0,0,0,NaN
20200818,TX,550232,3950413,NaN,6210,NaN,2179,NaN,NaN,NaN,415903,A,08/18/2020 16:40,2020-08-18T16:40:00Z,08/18 12:40,10250,NaN,2020-08-18T16:40:00Z,4500645,NaN,NaN,550232,NaN,NaN,NaN,NaN,326216,24732,301484,NaN,NaN,NaN,NaN,NaN,18244,2734,48,7282,17196,4500645,4500645,24478,4500645,216,0,e5090e7cb314383364d37d4f47a73704bc34f496,0,0,0,0,0,NaN
20200817,TX,542950,3933217,NaN,6200,NaN,2240,NaN,NaN,NaN,405817,A,08/17/2020 16:55,2020-08-17T16:55:00Z,08/17 12:55,10034,NaN,2020-08-17T16:55:00Z,4476167,NaN,NaN,542950,NaN,NaN,NaN,NaN,322433,23797,298636,NaN,NaN,NaN,NaN,NaN,17887,2694,48,7368,29758,4476167,4476167,37126,4476167,51,0,9dd25052369fb74058ee57123cc60d3210fb20d7,0,0,0,0,0,NaN
20200816,TX,535582,3903459,NaN,6267,NaN,2269,NaN,NaN,NaN,399572,A,08/16/2020 16:50,2020-08-16T16:50:00Z,08/16 12:50,9983,NaN,2020-08-16T16:50:00Z,4439041,NaN,NaN,535582,NaN,NaN,NaN,NaN,318940,23192,295748,NaN,NaN,NaN,NaN,NaN,17011,2591,48,6744,110621,4439041,4439041,117365,4439041,143,0,f752109abc155864b8fcc130cb647287a4068919,0,0,0,0,0,NaN
20200815,TX,528838,3792838,NaN,6481,NaN,2306,NaN,NaN,NaN,393266,A,08/15/2020 16:00,2020-08-15T16:00:00Z,08/15 12:00,9840,NaN,2020-08-15T16:00:00Z,4321676,NaN,NaN,528838,NaN,NaN,NaN,NaN,318938,23192,295746,NaN,NaN,NaN,NaN,NaN,17011,2591,48,8245,31390,4321676,4321676,39635,4321676,238,0,4e2b56cffa6bec1ae32a0f309e56f8cb4ce7a8c8,0,0,0,0,0,NaN
20200814,TX,520593,3761448,NaN,6632,NaN,2380,NaN,NaN,NaN,383717,A,08/14/2020 16:05,2020-08-14T16:05:00Z,08/14 12:05,9602,NaN,2020-08-14T16:05:00Z,4282041,NaN,NaN,520593,NaN,NaN,NaN,NaN,312727,22100,290627,NaN,NaN,NaN,NaN,NaN,17009,2591,48,7018,44260,4282041,4282041,51278,4282041,313,0,c9c3d7bcd7f88ab1a80489cb7ecbee7b8977edb6,0,0,0,0,0,NaN
20200813,TX,513575,3717188,NaN,6879,NaN,2435,NaN,NaN,NaN,375760,A,08/13/2020 17:30,2020-08-13T17:30:00Z,08/13 13:30,9289,NaN,2020-08-13T17:30:00Z,4230763,NaN,NaN,513575,NaN,NaN,NaN,NaN,302012,20800,281212,NaN,NaN,NaN,NaN,NaN,16699,2562,48,6755,117648,4230763,4230763,124403,4230763,255,0,ebd4917e6de0a1d64836d85918e402f6717c35f4,0,0,0,0,0,NaN
20200812,TX,506820,3599540,NaN,7028,NaN,2479,NaN,NaN,NaN,367354,A,08/12/2020 17:05,2020-08-12T17:05:00Z,08/12 13:05,9034,NaN,2020-08-12T17:05:00Z,4106360,NaN,NaN,506820,NaN,NaN,NaN,NaN,299037,20241,278796,NaN,NaN,NaN,NaN,NaN,16409,2536,48,6200,11297,4106360,4106360,17497,4106360,324,0,807b17fe1564e4c79b944cd314f105fcc3d011d5,0,0,0,0,0,NaN
20200811,TX,500620,3588243,NaN,7216,NaN,2495,NaN,NaN,NaN,358312,A,08/11/2020 16:25,2020-08-11T16:25:00Z,08/11 12:25,8710,NaN,2020-08-11T16:25:00Z,4088863,NaN,NaN,500620,NaN,NaN,NaN,NaN,295617,19800,275817,NaN,NaN,NaN,NaN,NaN,15569,2432,48,9803,5399,4088863,4088863,15202,4088863,220,0,50fbe06c61500aad17f62eb1baf0250f3adb3971,0,0,0,0,0,NaN
