county,date,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths
San Francisco,2020-03-18T00:00:00,65,0,65,0
San Francisco,2020-03-19T00:00:00,80,0,15,0
San Francisco,2020-03-20T00:00:00,87,0,7,0
San Francisco,2020-03-21T00:00:00,106,0,19,0
San Francisco,2020-03-22T00:00:00,134,0,28,0
San Francisco,2020-03-23T00:00:00,152,0,18,0
San Francisco,2020-03-24T00:00:00,181,1,29,1
San Francisco,2020-03-25T00:00:00,213,2,32,1
San Francisco,2020-03-26T00:00:00,261,1,48,-1
San Francisco,2020-03-27T00:00:00,285,2,24,1
San Francisco,2020-03-28T00:00:00,300,3,15,1
San Francisco,2020-03-29T00:00:00,333,5,33,2
San Francisco,2020-03-30T00:00:00,368,5,35,0
San Francisco,2020-03-31T00:00:00,404,5,36,0
San Francisco,2020-04-01T00:00:00,432,6,28,1
San Francisco,2020-04-02T00:00:00,473,6,41,0
San Francisco,2020-04-03T00:00:00,506,6,33,0
San Francisco,2020-04-04T00:00:00,537,6,31,0
San Francisco,2020-04-05T00:00:00,559,6,22,0
San Francisco,2020-04-06T00:00:00,586,6,27,0
San Francisco,2020-04-07T00:00:00,636,6,50,0
San Francisco,2020-04-08T00:00:00,687,7,51,1
San Francisco,2020-04-09T00:00:00,748,8,61,1
San Francisco,2020-04-10T00:00:00,797,12,49,4
San Francisco,2020-04-11T00:00:00,860,12,63,0
San Francisco,2020-04-12T00:00:00,886,12,26,0
San Francisco,2020-04-13T00:00:00,959,15,73,3
San Francisco,2020-04-14T00:00:00,968,15,9,0
San Francisco,2020-04-15T00:00:00,1006,17,38,2
San Francisco,2020-04-16T00:00:00,1039,17,33,0
San Francisco,2020-04-17T00:00:00,1090,20,51,3
San Francisco,2020-04-18T00:00:00,1144,20,54,0
San Francisco,2020-04-19T00:00:00,1153,20,9,0
San Francisco,2020-04-20T00:00:00,1223,20,70,0
San Francisco,2020-04-21T00:00:00,1232,20,9,0
San Francisco,2020-04-22T00:00:00,1255,21,23,1
San Francisco,2020-04-23T00:00:00,1312,21,57,0
San Francisco,2020-04-24T00:00:00,1345,22,33,1
San Francisco,2020-04-25T00:00:00,1341,22,-4,0
San Francisco,2020-04-26T00:00:00,1403,23,62,1
San Francisco,2020-04-27T00:00:00,1453,23,50,0
San Francisco,2020-04-28T00:00:00,1471,23,18,0
San Francisco,2020-04-29T00:00:00,1489,23,18,0
San Francisco,2020-04-30T00:00:00,1518,26,29,3
San Francisco,2020-05-01T00:00:00,1552,29,34,3
San Francisco,2020-05-02T00:00:00,1632,29,80,0
San Francisco,2020-05-03T00:00:00,1692,30,60,1
San Francisco,2020-05-04T00:00:00,1760,31,68,1
San Francisco,2020-05-05T00:00:00,1779,31,19,0
San Francisco,2020-05-06T00:00:00,1804,31,25,0
San Francisco,2020-05-07T00:00:00,1852,32,48,1
San Francisco,2020-05-08T00:00:00,1890,33,38,1
San Francisco,2020-05-09T00:00:00,1944,34,54,1
San Francisco,2020-05-10T00:00:00,1953,34,9,0
San Francisco,2020-05-11T00:00:00,1974,35,21,1
San Francisco,2020-05-12T00:00:00,1981,35,7,0
San Francisco,2020-05-13T00:00:00,2004,35,23,0
San Francisco,2020-05-14T00:00:00,2029,35,25,0
San Francisco,2020-05-15T00:00:00,2062,36,33,1
San Francisco,2020-05-16T00:00:00,2094,36,32,0
San Francisco,2020-05-17T00:00:00,2132,36,38,0
San Francisco,2020-05-18T00:00:00,2183,36,51,0
San Francisco,2020-05-19T00:00:00,2186,36,3,0
San Francisco,2020-05-20T00:00:00,2199,37,13,1
San Francisco,2020-05-21T00:00:00,2248,37,49,0
San Francisco,2020-05-22T00:00:00,2251,40,3,3
San Francisco,2020-05-23T00:00:00,2312,40,61,0
San Francisco,2020-05-24T00:00:00,2318,40,6,0
San Francisco,2020-05-25T00:00:00,2358,40,40,0
San Francisco,2020-05-26T00:00:00,2363,40,5,0
San Francisco,2020-05-27T00:00:00,2394,40,31,0
San Francisco,2020-05-28T00:00:00,2417,40,23,0
San Francisco,2020-05-29T00:00:00,2453,41,36,1
San Francisco,2020-05-30T00:00:00,2496,41,43,0
San Francisco,2020-05-31T00:00:00,2501,42,5,1
San Francisco,2020-06-01T00:00:00,2546,43,45,1
San Francisco,2020-06-02T00:00:00,2554,43,8,0
San Francisco,2020-06-03T00:00:00,2608,43,54,0
