county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Los Angeles,2020-03-29T00:00:00,489,1132,0,0,191,182,345
Los Angeles,2020-03-30T00:00:00,601,1277,0,0,245,244,456
Los Angeles,2020-03-31T00:00:00,713,1239,0,0,315,239,445
Los Angeles,2020-04-01T00:00:00,739,1332,0,0,335,220,492
Los Angeles,2020-04-02T00:00:00,818,1270,0,0,346,193,488
Los Angeles,2020-04-03T00:00:00,962,1239,0,0,422,209,473
Los Angeles,2020-04-04T00:00:00,1007,1190,0,0,449,181,537
Los Angeles,2020-04-05T00:00:00,1094,1082,0,0,473,166,554
Los Angeles,2020-04-06T00:00:00,1166,1070,0,0,486,175,587
Los Angeles,2020-04-07T00:00:00,1251,1350,0,0,517,162,603
Los Angeles,2020-04-08T00:00:00,1331,1077,0,0,532,211,582
Los Angeles,2020-04-09T00:00:00,1368,758,0,0,541,156,569
Los Angeles,2020-04-10T00:00:00,1299,754,0,0,514,142,663
Los Angeles,2020-04-11T00:00:00,1362,905,0,0,555,135,595
Los Angeles,2020-04-12T00:00:00,1433,715,0,0,559,144,564
Los Angeles,2020-04-13T00:00:00,1501,793,0,0,570,150,632
Los Angeles,2020-04-14T00:00:00,1587,613,0,0,588,115,614
Los Angeles,2020-04-15T00:00:00,1624,632,0,0,600,139,566
Los Angeles,2020-04-16T00:00:00,1679,620,0,0,594,108,608
Los Angeles,2020-04-17T00:00:00,1720,634,0,0,594,105,593
Los Angeles,2020-04-18T00:00:00,1709,578,0,0,586,110,579
Los Angeles,2020-04-19T00:00:00,1739,549,0,0,595,115,577
Los Angeles,2020-04-20T00:00:00,1791,602,0,0,625,93,607
Los Angeles,2020-04-21T00:00:00,1854,617,2471,13663,613,111,941
Los Angeles,2020-04-22T00:00:00,1858,590,2448,17405,602,125,1215
Los Angeles,2020-04-23T00:00:00,1863,595,2458,21107,600,118,1263
Los Angeles,2020-04-24T00:00:00,1860,546,2406,20782,600,87,1378
Los Angeles,2020-04-25T00:00:00,1845,572,2417,20233,579,99,1359
Los Angeles,2020-04-26T00:00:00,1887,575,2462,20162,588,122,1262
Los Angeles,2020-04-27T00:00:00,1940,609,2549,20205,592,117,1226
Los Angeles,2020-04-28T00:00:00,1962,581,2543,20337,597,130,1209
Los Angeles,2020-04-29T00:00:00,1959,591,2550,20960,602,97,1167
Los Angeles,2020-04-30T00:00:00,1894,470,2364,18236,591,93,1235
Los Angeles,2020-05-01T00:00:00,1884,511,2395,18549,606,98,1185
Los Angeles,2020-05-02T00:00:00,1819,561,2380,21176,599,105,1185
Los Angeles,2020-05-03T00:00:00,1779,520,2299,21621,599,95,1178
Los Angeles,2020-05-04T00:00:00,1828,543,2371,22298,581,95,1166
Los Angeles,2020-05-05T00:00:00,1826,544,2370,22079,571,110,1164
Los Angeles,2020-05-06T00:00:00,1790,502,2292,23573,558,99,1206
Los Angeles,2020-05-07T00:00:00,1771,552,2323,23461,548,90,1220
Los Angeles,2020-05-08T00:00:00,1766,510,2276,23900,535,82,1181
Los Angeles,2020-05-09T00:00:00,1690,531,2221,23877,493,82,1213
Los Angeles,2020-05-10T00:00:00,1731,539,2270,23858,498,90,1253
Los Angeles,2020-05-11T00:00:00,1763,547,2310,23866,498,86,1242
Los Angeles,2020-05-12T00:00:00,1742,506,2248,23941,499,84,1267
Los Angeles,2020-05-13T00:00:00,1733,618,2351,23951,504,83,1253
Los Angeles,2020-05-14T00:00:00,1648,559,2207,23919,480,101,1230
Los Angeles,2020-05-15T00:00:00,1648,553,2201,23901,481,90,1229
Los Angeles,2020-05-16T00:00:00,1570,516,2086,23918,483,80,1207
Los Angeles,2020-05-17T00:00:00,1549,558,2107,23854,478,97,1233
Los Angeles,2020-05-18T00:00:00,1531,520,2051,23910,483,87,1221
Los Angeles,2020-05-19T00:00:00,1517,619,2136,23675,466,94,1216
Los Angeles,2020-05-20T00:00:00,1506,561,2067,23670,452,87,1253
Los Angeles,2020-05-21T00:00:00,1491,614,2105,23620,461,95,1199
Los Angeles,2020-05-22T00:00:00,1490,565,2055,23628,470,102,1187
Los Angeles,2020-05-23T00:00:00,1440,566,2006,23605,462,104,1257
Los Angeles,2020-05-24T00:00:00,1443,547,1990,23608,448,101,1227
Los Angeles,2020-05-25T00:00:00,1477,564,2041,23620,465,94,1453
Los Angeles,2020-05-26T00:00:00,1477,610,2087,23592,464,103,1449
Los Angeles,2020-05-27T00:00:00,1462,628,2090,23626,464,90,1275
Los Angeles,2020-05-28T00:00:00,1415,639,2054,23608,458,112,1275
Los Angeles,2020-05-29T00:00:00,1402,570,1972,23642,446,103,1258
Los Angeles,2020-05-30T00:00:00,1357,577,1934,23636,440,100,1288
Los Angeles,2020-05-31T00:00:00,1389,519,1908,23606,416,95,1316
Los Angeles,2020-06-01T00:00:00,1422,596,2018,23614,425,105,1305
Los Angeles,2020-06-02T00:00:00,1457,570,2027,23620,439,85,1276
Los Angeles,2020-06-03T00:00:00,1488,502,1990,23607,435,78,1239
Los Angeles,2020-06-04T00:00:00,1462,586,2048,23715,453,99,1249
Los Angeles,2020-06-05T00:00:00,1451,547,1998,23507,439,109,1210
Los Angeles,2020-06-06T00:00:00,1399,582,1981,23617,418,88,1233
Los Angeles,2020-06-07T00:00:00,1453,558,2011,23659,428,91,1247
Los Angeles,2020-06-08T00:00:00,1458,595,2053,23736,426,95,1301
Los Angeles,2020-06-09T00:00:00,1416,695,2111,23627,410,97,1258
Los Angeles,2020-06-10T00:00:00,1389,564,1953,23634,403,109,1258
Los Angeles,2020-06-11T00:00:00,1397,576,1973,23666,415,97,1220
Los Angeles,2020-06-12T00:00:00,1383,487,1870,23655,414,78,1228
Los Angeles,2020-06-13T00:00:00,1285,483,1768,23688,399,84,1262
Los Angeles,2020-06-14T00:00:00,1288,509,1797,23703,397,80,1283
Los Angeles,2020-06-15T00:00:00,1420,536,1956,23659,404,88,1333
Los Angeles,2020-06-16T00:00:00,1429,518,1947,23667,412,87,1175
Los Angeles,2020-06-17T00:00:00,1446,512,1958,23646,414,61,1151
Los Angeles,2020-06-18T00:00:00,1406,494,1900,23644,403,88,1195
Los Angeles,2020-06-19T00:00:00,1426,494,1920,23649,408,73,1197
Los Angeles,2020-06-20T00:00:00,1453,516,1969,23631,408,87,1276
Los Angeles,2020-06-21T00:00:00,1515,486,2001,23624,412,80,1316
Los Angeles,2020-06-22T00:00:00,1556,534,2090,23612,406,76,1398
Los Angeles,2020-06-23T00:00:00,1633,626,2259,23601,416,100,1301
Los Angeles,2020-06-24T00:00:00,1676,607,2283,23580,430,93,1259
Los Angeles,2020-06-25T00:00:00,1698,539,2237,23520,440,78,1234
Los Angeles,2020-06-26T00:00:00,1717,579,2296,23565,446,79,1289
Los Angeles,2020-06-27T00:00:00,1710,606,2316,23683,443,80,1244
Los Angeles,2020-06-28T00:00:00,1783,682,2465,23562,469,97,1320
Los Angeles,2020-06-29T00:00:00,1889,622,2511,23622,504,91,1239
Los Angeles,2020-06-30T00:00:00,1893,645,2538,23639,526,102,1170
Los Angeles,2020-07-01T00:00:00,1937,643,2580,21731,537,95,1092
Los Angeles,2020-07-02T00:00:00,1933,679,2612,23057,546,86,1153
Los Angeles,2020-07-03T00:00:00,1947,696,2643,23965,549,101,1189
Los Angeles,2020-07-04T00:00:00,1921,653,2574,23943,540,84,1336
Los Angeles,2020-07-05T00:00:00,1969,676,2645,23936,527,102,1295
Los Angeles,2020-07-06T00:00:00,2004,666,2670,23927,529,103,1334
Los Angeles,2020-07-07T00:00:00,2037,792,2829,23880,522,108,1368
Los Angeles,2020-07-08T00:00:00,1995,822,2817,23875,524,101,1311
Los Angeles,2020-07-09T00:00:00,2032,817,2849,23906,548,107,1368
Los Angeles,2020-07-10T00:00:00,2093,684,2777,23901,547,84,1327
Los Angeles,2020-07-11T00:00:00,2056,713,2769,23980,566,84,1352
Los Angeles,2020-07-12T00:00:00,2103,670,2773,23868,565,78,1502
Los Angeles,2020-07-13T00:00:00,2193,612,2805,23866,576,92,1367
Los Angeles,2020-07-14T00:00:00,2173,726,2899,23862,579,96,1297
Los Angeles,2020-07-15T00:00:00,2122,729,2851,23884,557,100,1322
Los Angeles,2020-07-16T00:00:00,2188,719,2907,23989,604,93,1325
Los Angeles,2020-07-17T00:00:00,2216,660,2876,23968,571,73,1380
Los Angeles,2020-07-18T00:00:00,2232,608,2840,23972,585,81,1398
Los Angeles,2020-07-19T00:00:00,2218,616,2834,23943,577,93,1443
Los Angeles,2020-07-20T00:00:00,2207,670,2877,23351,594,90,1412
Los Angeles,2020-07-21T00:00:00,2210,620,2830,23798,623,94,1252
Los Angeles,2020-07-22T00:00:00,1928,542,2470,16107,556,82,827
Los Angeles,2020-07-23T00:00:00,2016,582,2598,16525,595,75,830
Los Angeles,2020-07-24T00:00:00,2033,595,2628,17054,622,81,846
Los Angeles,2020-07-25T00:00:00,2017,535,2552,18946,582,89,930
Los Angeles,2020-07-26T00:00:00,2051,570,2621,19906,596,81,912
Los Angeles,2020-07-27T00:00:00,2045,554,2599,18716,576,93,901
Los Angeles,2020-07-28T00:00:00,2022,575,2597,20025,550,71,918
Los Angeles,2020-07-29T00:00:00,2002,566,2568,20193,578,57,877
Los Angeles,2020-07-30T00:00:00,1904,553,2457,20167,569,58,872
Los Angeles,2020-07-31T00:00:00,1856,516,2372,20401,575,53,864
Los Angeles,2020-08-01T00:00:00,1784,557,2341,19238,544,61,908
Los Angeles,2020-08-02T00:00:00,1757,506,2263,19088,545,55,952
Los Angeles,2020-08-03T00:00:00,1768,541,2309,19242,537,68,915
Los Angeles,2020-08-04T00:00:00,1741,556,2297,19053,508,57,887
Los Angeles,2020-08-05T00:00:00,1680,602,2282,19541,502,81,865
Los Angeles,2020-08-06T00:00:00,1610,581,2191,19413,499,73,836
Los Angeles,2020-08-07T00:00:00,1568,478,2046,18941,519,64,814
Los Angeles,2020-08-08T00:00:00,1514,513,2027,19208,476,66,820
Los Angeles,2020-08-09T00:00:00,1524,468,1992,19199,490,59,819
Los Angeles,2020-08-10T00:00:00,1538,446,1984,19164,493,58,850
Los Angeles,2020-08-11T00:00:00,1481,470,1951,19342,481,66,871
Los Angeles,2020-08-12T00:00:00,1415,472,1887,19364,460,56,842
Los Angeles,2020-08-13T00:00:00,1393,520,1913,19575,456,72,977
Los Angeles,2020-08-14T00:00:00,1357,556,1913,19573,441,75,865
Los Angeles,2020-08-15T00:00:00,1341,573,1914,19553,442,85,837
Los Angeles,2020-08-16T00:00:00,1352,555,1907,19678,436,85,881
Los Angeles,2020-08-17T00:00:00,1378,518,1896,19489,435,69,854
Los Angeles,2020-08-18T00:00:00,1378,591,1969,19641,433,55,864
Los Angeles,2020-08-19T00:00:00,1347,551,1898,19790,428,53,852
Los Angeles,2020-08-20T00:00:00,1280,509,1789,19794,420,58,823
Los Angeles,2020-08-21T00:00:00,1247,479,1726,20155,412,54,817
Los Angeles,2020-08-22T00:00:00,1219,482,1701,19781,389,55,856
Los Angeles,2020-08-23T00:00:00,1200,467,1667,19582,375,59,892
Los Angeles,2020-08-24T00:00:00,1186,450,1636,19226,373,53,917
Los Angeles,2020-08-25T00:00:00,1168,517,1685,19881,375,49,894
Los Angeles,2020-08-26T00:00:00,1168,466,1634,20280,364,53,893
Los Angeles,2020-08-27T00:00:00,1116,449,1565,20182,356,46,889
Los Angeles,2020-08-28T00:00:00,1089,423,1512,19935,344,53,881
Los Angeles,2020-08-29T00:00:00,1043,415,1458,19773,345,44,862
Los Angeles,2020-08-30T00:00:00,1057,386,1443,19714,345,53,934
Los Angeles,2020-08-31T00:00:00,1048,415,1463,19746,321,62,954
Los Angeles,2020-09-01T00:00:00,1062,426,1488,19849,320,52,933
Los Angeles,2020-09-02T00:00:00,992,386,1378,19805,296,49,919
Los Angeles,2020-09-03T00:00:00,984,362,1346,19780,310,51,913
Los Angeles,2020-09-04T00:00:00,966,355,1321,19804,305,52,907
Los Angeles,2020-09-05T00:00:00,943,361,1304,19813,305,43,926
Los Angeles,2020-09-06T00:00:00,942,372,1314,19715,312,40,929
Los Angeles,2020-09-07T00:00:00,936,414,1350,19650,308,48,954
Los Angeles,2020-09-08T00:00:00,940,415,1355,19839,307,53,995
Los Angeles,2020-09-09T00:00:00,889,365,1254,19917,290,51,957
Los Angeles,2020-09-10T00:00:00,877,342,1219,19990,301,49,924
Los Angeles,2020-09-11T00:00:00,813,345,1158,20020,275,59,942
Los Angeles,2020-09-12T00:00:00,775,375,1150,19884,261,47,971
Los Angeles,2020-09-13T00:00:00,772,330,1102,19838,258,40,1010
Los Angeles,2020-09-14T00:00:00,804,343,1147,19858,244,56,1023
Los Angeles,2020-09-15T00:00:00,780,348,1128,20011,238,56,968
Los Angeles,2020-09-16T00:00:00,739,379,1118,20004,232,40,958
Los Angeles,2020-09-17T00:00:00,732,340,1072,20066,228,36,941
Los Angeles,2020-09-18T00:00:00,765,363,1128,20006,227,46,941
Los Angeles,2020-09-19T00:00:00,749,328,1077,19792,207,48,967
Los Angeles,2020-09-20T00:00:00,745,368,1113,19800,207,63,989
Los Angeles,2020-09-21T00:00:00,779,365,1144,19865,222,46,988
Los Angeles,2020-09-22T00:00:00,753,392,1145,20023,212,42,970
Los Angeles,2020-09-23T00:00:00,760,378,1138,20078,216,62,989
Los Angeles,2020-09-24T00:00:00,715,319,1034,20052,207,66,949
Los Angeles,2020-09-25T00:00:00,692,336,1028,20053,200,63,930
Los Angeles,2020-09-26T00:00:00,687,371,1058,19966,206,71,977
Los Angeles,2020-09-27T00:00:00,714,356,1070,19933,205,61,998
Los Angeles,2020-09-28T00:00:00,734,291,1025,19925,207,55,1043
Los Angeles,2020-09-29T00:00:00,746,340,1086,19969,205,49,1013
Los Angeles,2020-09-30T00:00:00,730,371,1101,20001,197,55,996
Los Angeles,2020-10-01T00:00:00,698,371,1069,20041,202,53,989
Los Angeles,2020-10-02T00:00:00,673,324,997,20018,188,48,1001
San Bernardino,2020-09-01T00:00:00,283,66,349,3860,100,7,137
San Bernardino,2020-07-01T00:00:00,428,88,516,4564,151,19,95
San Bernardino,2020-03-29T00:00:00,33,123,0,0,19,20,65
San Bernardino,2020-09-30T00:00:00,165,58,223,3863,45,12,164
San Bernardino,2020-03-30T00:00:00,67,179,0,0,27,33,66
San Bernardino,2020-08-27T00:00:00,306,55,361,3862,107,7,148
San Bernardino,2020-09-22T00:00:00,162,72,234,3861,46,12,186
