county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths
Los Angeles,2020-03-29T00:00:00,489,1132,0,0,191,182,345,47,0,47,0
Los Angeles,2020-03-30T00:00:00,601,1277,0,0,245,244,456,233,0,186,0
Los Angeles,2020-03-31T00:00:00,713,1239,0,0,315,239,445,267,1,34,1
Los Angeles,2020-04-01T00:00:00,739,1332,0,0,335,220,492,322,2,55,1
Los Angeles,2020-04-02T00:00:00,818,1270,0,0,346,193,488,384,3,62,1
Los Angeles,2020-04-03T00:00:00,962,1239,0,0,422,209,473,389,4,5,1
Los Angeles,2020-04-04T00:00:00,1007,1190,0,0,449,181,537,633,11,244,7
Los Angeles,2020-04-05T00:00:00,1094,1082,0,0,473,166,554,725,10,92,1
Los Angeles,2020-04-06T00:00:00,1166,1070,0,0,486,175,587,1075,18,350,8
Los Angeles,2020-04-07T00:00:00,1251,1350,0,0,517,162,603,1474,26,399,8
Los Angeles,2020-04-08T00:00:00,1331,1077,0,0,532,211,582,1800,32,326,6
Los Angeles,2020-04-09T00:00:00,1368,758,0,0,541,156,569,2119,37,319,5
Los Angeles,2020-04-10T00:00:00,1299,754,0,0,514,142,663,2467,44,348,7
Los Angeles,2020-04-11T00:00:00,1362,905,0,0,555,135,595,3001,53,534,9
Los Angeles,2020-04-12T00:00:00,1433,715,0,0,559,144,564,3502,66,501,13
Los Angeles,2020-04-13T00:00:00,1501,793,0,0,570,150,632,4040,79,538,13
Los Angeles,2020-04-14T00:00:00,1587,613,0,0,588,115,614,4566,91,526,12
Los Angeles,2020-04-15T00:00:00,1624,632,0,0,600,139,566,5275,117,709,26
Los Angeles,2020-04-16T00:00:00,1679,620,0,0,594,108,608,5892,130,617,13
Los Angeles,2020-04-17T00:00:00,1720,634,0,0,594,105,593,6346,145,454,15
Los Angeles,2020-04-18T00:00:00,1709,578,0,0,586,110,579,6885,170,539,25
Los Angeles,2020-04-19T00:00:00,1739,549,0,0,595,115,577,7505,196,620,26
Los Angeles,2020-04-20T00:00:00,1791,602,0,0,625,93,607,7919,220,414,24
Los Angeles,2020-04-21T00:00:00,1854,617,2471,13663,613,111,941,8384,241,465,21
Los Angeles,2020-04-22T00:00:00,1858,590,2448,17405,602,125,1215,8823,265,439,24
Los Angeles,2020-04-23T00:00:00,1863,595,2458,21107,600,118,1263,9133,296,310,31
Los Angeles,2020-04-24T00:00:00,1860,546,2406,20782,600,87,1378,9367,320,234,24
Los Angeles,2020-04-25T00:00:00,1845,572,2417,20233,579,99,1359,9948,360,581,40
Los Angeles,2020-04-26T00:00:00,1887,575,2462,20162,588,122,1262,10416,402,468,42
Los Angeles,2020-04-27T00:00:00,1940,609,2549,20205,592,117,1226,10786,455,370,53
Los Angeles,2020-04-28T00:00:00,1962,581,2543,20337,597,130,1209,11354,495,568,40
Los Angeles,2020-04-29T00:00:00,1959,591,2550,20960,602,97,1167,11984,576,630,81
Los Angeles,2020-04-30T00:00:00,1894,470,2364,18236,591,93,1235,12299,600,315,24
Los Angeles,2020-05-01T00:00:00,1884,511,2395,18549,606,98,1185,13787,617,1488,17
Los Angeles,2020-05-02T00:00:00,1819,561,2380,21176,599,105,1185,15096,663,1309,46
Los Angeles,2020-05-03T00:00:00,1779,520,2299,21621,599,95,1178,16400,729,1304,66
Los Angeles,2020-05-04T00:00:00,1828,543,2371,22298,581,95,1166,17548,797,1148,68
Los Angeles,2020-05-05T00:00:00,1826,544,2370,22079,571,110,1164,18553,848,1005,51
Los Angeles,2020-05-06T00:00:00,1790,502,2292,23573,558,99,1206,19144,895,591,47
