week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,60,60,224,224,39,39,76,76,44,44,3600,2875,141,141,24,24,0,0
2020-05-31T00:00:00.000,34,94,12,236,1,40,15,91,10,54,4276,3283,32,173,37,61,0,0
2020-06-07T00:00:00.000,45,139,34,270,5,45,33,124,9,63,4420,3402,28,201,22,83,0,0
2020-06-14T00:00:00.000,37,176,10,280,3,48,36,160,21,84,4420,3424,25,226,12,95,0,0
2020-06-21T00:00:00.000,19,195,8,288,1,49,28,188,3,87,4420,3425,9,235,6,101,0,0
2020-06-28T00:00:00.000,24,219,37,325,39,88,29,217,4,91,4420,3414,16,251,18,119,0,0
2020-07-05T00:00:00.000,10,229,16,341,18,106,26,243,7,98,4420,3381,21,272,3,122,0,0
2020-07-12T00:00:00.000,29,258,52,393,30,136,19,262,3,101,4420,3385,94,366,4,126,0,0
2020-07-19T00:00:00.000,51,309,104,497,16,152,22,284,9,110,4420,3345,153,519,6,132,0,0
2020-07-26T00:00:00.000,98,407,75,572,30,182,33,317,16,126,4420,3320,128,647,11,143,0,0
2020-08-02T00:00:00.000,80,487,105,677,71,253,22,339,12,138,4420,3304,135,782,2,145,1,1
2020-08-09T00:00:00.000,77,564,56,733,2,255,31,370,14,152,4420,3283,65,847,39,184,0,1
2020-08-16T00:00:00.000,73,637,26,759,24,279,33,403,10,162,4420,3313,47,894,0,184,1,2
2020-08-23T00:00:00.000,75,712,25,784,6,285,23,426,2,164,4420,3299,34,928,2,186,0,2
2020-08-30T00:00:00.000,54,766,21,805,5,290,22,448,5,169,4420,3335,12,940,1,187,0,2
2020-09-06T00:00:00.000,14,780,9,814,5,295,19,467,5,174,4420,3304,36,976,3,190,0,2
2020-09-13T00:00:00.000,27,807,6,820,2,297,12,479,1,175,4311,3251,17,993,0,190,0,2
2020-09-20T00:00:00.000,25,832,29,849,0,297,11,490,1,176,4420,3281,34,1027,4,194,0,2
2020-09-27T00:00:00.000,17,849,29,878,1,298,11,501,2,178,4385,3224,14,1041,2,196,0,2
2020-10-04T00:00:00.000,21,870,9,887,5,303,18,519,3,181,4385,3222,11,1052,0,196,1,3
2020-10-11T00:00:00.000,10,880,16,903,0,303,16,535,1,182,4420,3218,8,1060,1,197,0,3
2020-10-18T00:00:00.000,5,885,13,916,4,307,6,541,1,183,4420,3227,7,1067,1,198,0,3
2020-10-25T00:00:00.000,13,898,9,925,6,313,9,550,1,184,4420,3208,9,1076,1,199,0,3
2020-11-01T00:00:00.000,14,912,11,936,1,314,7,557,0,184,4420,3237,7,1083,2,201,0,3
2020-11-08T00:00:00.000,10,922,10,946,14,328,7,564,0,184,4420,3268,18,1101,2,203,0,3
2020-11-15T00:00:00.000,23,945,24,970,0,328,12,576,0,184,4420,3253,24,1125,2,205,0,3
2020-11-22T00:00:00.000,13,958,7,977,2,330,11,587,0,184,4420,3277,16,1141,1,206,0,3
2020-11-29T00:00:00.000,23,981,30,1007,NaN,330,13,600,2,186,4420,3267,15,1156,0,206,0,3
2020-12-06T00:00:00.000,21,1002,34,1041,NaN,330,7,607,0,186,4420,3250,20,1176,0,206,0,3
2020-12-13T00:00:00.000,22,1024,22,1063,NaN,330,17,624,1,187,4420,3233,26,1202,0,206,0,3
2020-12-20T00:00:00.000,22,1046,36,1099,NaN,330,14,638,4,191,4420,3242,37,1239,0,206,0,3
2020-12-27T00:00:00.000,10,1056,23,1122,NaN,330,8,646,1,192,4420,3245,47,1286,0,206,0,3
2021-01-03T00:00:00.000,21,1077,39,1161,NaN,330,19,665,9,201,4420,3255,37,1323,0,206,0,3
2021-01-10T00:00:00.000,29,1106,43,1204,NaN,330,12,677,5,206,4385,3240,42,1365,0,206,0,3
2021-01-17T00:00:00.000,25,1131,18,1222,NaN,330,26,703,10,216,4385,3243,29,1394,0,206,0,3
2021-01-24T00:00:00.000,22,1153,14,1236,NaN,330,13,716,1,217,4385,3250,25,1419,0,206,0,3
2021-01-31T00:00:00.000,28,1181,11,1247,NaN,330,15,731,4,221,4385,3254,18,1437,0,206,0,3
2021-02-07T00:00:00.000,19,1200,10,1257,NaN,330,10,741,2,223,4434,3263,13,1450,0,206,0,3
2021-02-14T00:00:00.000,25,1225,8,1265,NaN,330,20,761,4,227,4434,3272,13,1463,0,206,0,3
2021-02-21T00:00:00.000,24,1249,5,1270,NaN,330,14,775,3,230,4434,3273,16,1479,0,206,0,3
2021-02-28T00:00:00.000,23,1272,1,1271,NaN,330,11,786,2,232,4420,3305,11,1490,0,206,0,3
2021-03-07T00:00:00.000,12,1284,5,1276,NaN,330,14,800,6,238,4434,3287,15,1505,0,206,0,3
2021-03-14T00:00:00.000,13,1297,18,1294,NaN,330,16,816,2,240,4434,3343,20,1525,0,206,0,3
2021-03-21T00:00:00.000,18,1315,8,1302,NaN,330,12,828,3,243,4434,3353,9,1534,0,206,0,3
