week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,2175,2175,5872,5872,5750,5750,4677,4677,1248,1248,112715,88386,3656,3656,3558,3558,16,16
2020-05-31T00:00:00.000,630,2805,888,6760,1366,7116,934,5611,287,1535,114573,89181,636,4292,555,4113,12,28
2020-06-07T00:00:00.000,563,3368,1019,7779,1580,8696,724,6335,253,1788,115543,89699,707,4999,526,4639,5,33
2020-06-14T00:00:00.000,713,4081,839,8618,1489,10185,651,6986,191,1979,115679,89402,660,5659,528,5167,5,38
2020-06-21T00:00:00.000,552,4633,914,9532,1447,11632,660,7646,214,2193,115713,89331,754,6413,587,5754,8,46
2020-06-28T00:00:00.000,601,5234,1025,10557,1967,13599,550,8196,160,2353,115860,88990,934,7347,876,6630,2,48
2020-07-05T00:00:00.000,570,5804,1145,11702,1988,15587,446,8642,115,2468,115863,88603,979,8326,606,7236,4,52
2020-07-12T00:00:00.000,638,6442,1055,12757,2024,17611,603,9245,184,2652,115847,87862,1093,9419,1076,8312,5,57
2020-07-19T00:00:00.000,707,7149,1288,14045,1980,19591,591,9836,187,2839,115913,87528,1395,10814,1089,9401,3,60
2020-07-26T00:00:00.000,835,7984,1621,15666,1631,21222,587,10423,197,3036,115913,87131,1313,12127,693,10094,7,67
2020-08-02T00:00:00.000,813,8797,1527,17193,1347,22569,588,11011,206,3242,115784,86854,1313,13440,561,10655,1,68
2020-08-09T00:00:00.000,761,9558,1242,18435,1590,24159,488,11499,189,3431,115770,86218,926,14366,451,11106,9,77
2020-08-16T00:00:00.000,811,10369,1411,19846,2281,26440,528,12027,192,3623,115731,86179,979,15345,456,11562,3,80
2020-08-23T00:00:00.000,764,11133,1037,20883,1420,27860,564,12591,211,3834,115735,86034,893,16238,332,11894,1,81
2020-08-30T00:00:00.000,659,11792,777,21660,1062,28922,483,13074,151,3985,115639,86170,664,16902,281,12175,2,83
2020-09-06T00:00:00.000,554,12346,640,22300,822,29744,434,13508,131,4116,115639,86211,530,17432,208,12383,2,85
2020-09-13T00:00:00.000,449,12795,463,22763,872,30616,445,13953,96,4212,115914,86392,378,17810,190,12573,4,89
2020-09-20T00:00:00.000,424,13219,420,23183,879,31495,371,14324,78,4290,115762,86696,413,18223,239,12812,3,92
2020-09-27T00:00:00.000,354,13571,454,23634,713,32187,353,14677,66,4356,115735,87083,439,18657,233,13043,1,93
2020-10-04T00:00:00.000,383,13954,326,23960,938,33125,334,15011,66,4422,115804,87360,396,19053,261,13304,2,95
2020-10-11T00:00:00.000,371,14325,240,24200,965,34090,329,15340,59,4481,115588,87399,314,19367,266,13570,1,96
2020-10-18T00:00:00.000,321,14646,405,24605,1174,35264,355,15695,58,4539,115737,87480,316,19683,303,13873,0,96
2020-10-25T00:00:00.000,296,14942,319,24924,1061,36325,321,16016,56,4595,115804,87656,350,20033,212,14085,2,98
2020-11-01T00:00:00.000,301,15243,276,25200,823,37148,320,16336,44,4639,115800,87934,390,20423,230,14315,0,98
2020-11-08T00:00:00.000,338,15581,664,25864,1325,38473,342,16678,46,4685,115782,87650,529,20952,239,14554,0,98
2020-11-15T00:00:00.000,428,16009,986,26850,1189,39662,315,16993,61,4746,115858,87929,901,21853,368,14922,0,98
2020-11-22T00:00:00.000,574,16583,1388,28238,2131,41793,453,17446,101,4847,115857,87808,1287,23140,483,15405,1,99
2020-11-29T00:00:00.000,569,17152,1775,30013,NaN,41793,428,17874,124,4971,115905,87051,1421,24561,0,15405,4,103
2020-12-06T00:00:00.000,964,18116,2720,32733,NaN,41793,572,18446,190,5161,115913,86619,2532,27093,0,15405,6,109
2020-12-13T00:00:00.000,1216,19332,3490,36223,NaN,41793,701,19147,302,5463,115919,86212,3588,30681,0,15405,2,111
2020-12-20T00:00:00.000,1337,20669,4900,41123,NaN,41793,804,19951,448,5911,115716,85052,4053,34734,0,15405,4,115
2020-12-27T00:00:00.000,1190,21859,4245,45368,NaN,41793,958,20909,517,6428,115726,83537,3625,38359,0,15405,5,120
2021-01-03T00:00:00.000,1440,23299,4129,49497,NaN,41793,992,21901,577,7005,115728,82343,3670,42029,0,15405,13,133
2021-01-10T00:00:00.000,1796,25095,3170,52667,NaN,41793,1036,22937,589,7594,115707,81817,2776,44805,0,15405,8,141
2021-01-17T00:00:00.000,1876,26971,2411,55078,NaN,41793,987,23924,501,8095,115638,81962,1970,46775,0,15405,9,150
2021-01-24T00:00:00.000,1764,28735,1589,56667,NaN,41793,763,24687,349,8444,115637,82198,1138,47913,0,15405,3,153
2021-01-31T00:00:00.000,1495,30230,880,57547,NaN,41793,575,25262,214,8658,115652,82851,682,48595,0,15405,6,159
2021-02-07T00:00:00.000,1136,31366,443,57990,NaN,41793,502,25764,156,8814,115652,83085,389,48984,0,15405,10,169
2021-02-14T00:00:00.000,955,32321,286,58276,NaN,41793,450,26214,99,8913,115469,83398,238,49222,0,15405,2,171
2021-02-21T00:00:00.000,696,33017,138,58414,NaN,41793,358,26572,47,8960,115372,83735,153,49375,0,15405,3,174
2021-02-28T00:00:00.000,654,33671,111,58525,NaN,41793,408,26980,39,8999,115450,84031,127,49502,0,15405,1,175
2021-03-07T00:00:00.000,486,34157,43,58568,NaN,41793,335,27315,39,9038,115579,84129,84,49586,0,15405,0,175
2021-03-14T00:00:00.000,417,34574,36,58604,NaN,41793,249,27564,8,9046,115669,84630,79,49665,0,15405,0,175
2021-03-21T00:00:00.000,118,34692,15,58619,NaN,41793,129,27693,9,9055,115543,85978,32,49697,0,15405,0,175
