week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,624,624,1911,1911,1318,1318,1906,1906,478,478,76224,60200,1336,1336,1290,1290,1,1
2020-05-31T00:00:00.000,306,930,309,2220,265,1583,450,2356,125,603,80990,63458,354,1690,281,1571,0,1
2020-06-07T00:00:00.000,310,1240,296,2516,214,1797,455,2811,101,704,82643,64958,403,2093,187,1758,0,1
2020-06-14T00:00:00.000,295,1535,208,2724,147,1944,403,3214,99,803,83198,65200,339,2432,159,1917,0,1
2020-06-21T00:00:00.000,303,1838,353,3077,316,2260,414,3628,63,866,83524,65273,452,2884,233,2150,0,1
2020-06-28T00:00:00.000,393,2231,699,3776,329,2589,383,4011,86,952,83685,65481,725,3609,385,2535,0,1
2020-07-05T00:00:00.000,361,2592,641,4417,418,3007,456,4467,106,1058,83685,65275,1095,4704,518,3053,1,2
2020-07-12T00:00:00.000,447,3039,1360,5777,820,3827,487,4954,163,1221,83802,65283,2089,6793,584,3637,4,6
2020-07-19T00:00:00.000,474,3513,1773,7550,707,4534,580,5534,227,1448,83656,64094,2299,9092,583,4220,4,10
2020-07-26T00:00:00.000,837,4350,1826,9376,638,5172,645,6179,292,1740,83827,63573,2153,11245,451,4671,6,16
2020-08-02T00:00:00.000,899,5249,1547,10923,587,5759,583,6762,277,2017,83659,63220,1530,12775,402,5073,6,22
2020-08-09T00:00:00.000,898,6147,1306,12229,454,6213,598,7360,280,2297,83649,62824,1382,14157,351,5424,4,26
2020-08-16T00:00:00.000,892,7039,963,13192,484,6697,576,7936,220,2517,83815,62852,1156,15313,218,5642,3,29
2020-08-23T00:00:00.000,754,7793,856,14048,252,6949,512,8448,205,2722,83858,62848,899,16212,206,5848,2,31
2020-08-30T00:00:00.000,683,8476,665,14713,288,7237,468,8916,164,2886,83854,62902,645,16857,169,6017,2,33
2020-09-06T00:00:00.000,574,9050,780,15493,223,7460,388,9304,100,2986,83663,62771,643,17500,155,6172,2,35
2020-09-13T00:00:00.000,446,9496,761,16254,159,7619,362,9666,100,3086,83677,62782,583,18083,145,6317,1,36
2020-09-20T00:00:00.000,438,9934,580,16834,99,7718,367,10033,79,3165,83784,63121,553,18636,105,6422,5,41
2020-09-27T00:00:00.000,343,10277,463,17297,136,7854,335,10368,88,3253,83631,62916,400,19036,113,6535,1,42
2020-10-04T00:00:00.000,281,10558,333,17630,89,7943,321,10689,64,3317,83742,62799,356,19392,102,6637,2,44
2020-10-11T00:00:00.000,289,10847,238,17868,81,8024,327,11016,64,3381,83845,63072,289,19681,118,6755,4,48
2020-10-18T00:00:00.000,278,11125,261,18129,96,8120,275,11291,38,3419,83819,63544,396,20077,97,6852,3,51
2020-10-25T00:00:00.000,252,11377,242,18371,119,8239,270,11561,31,3450,83725,63423,308,20385,96,6948,0,51
2020-11-01T00:00:00.000,195,11572,256,18627,118,8357,264,11825,30,3480,83641,63620,341,20726,84,7032,0,51
2020-11-08T00:00:00.000,232,11804,357,18984,84,8441,256,12081,29,3509,83518,63851,396,21122,119,7151,0,51
2020-11-15T00:00:00.000,298,12102,562,19546,107,8548,289,12370,47,3556,83695,63633,666,21788,130,7281,0,51
2020-11-22T00:00:00.000,249,12351,496,20042,112,8660,277,12647,55,3611,83743,63512,608,22396,134,7415,2,53
2020-11-29T00:00:00.000,274,12625,407,20449,NaN,8660,329,12976,78,3689,83758,63136,541,22937,0,7415,10,63
2020-12-06T00:00:00.000,345,12970,479,20928,NaN,8660,346,13322,64,3753,83702,63011,630,23567,0,7415,9,72
2020-12-13T00:00:00.000,400,13370,587,21515,NaN,8660,378,13700,82,3835,83633,63020,772,24339,0,7415,5,77
2020-12-20T00:00:00.000,477,13847,989,22504,NaN,8660,362,14062,66,3901,83513,63245,930,25269,0,7415,1,78
2020-12-27T00:00:00.000,473,14320,1015,23519,NaN,8660,295,14357,66,3967,83425,62541,963,26232,0,7415,2,80
2021-01-03T00:00:00.000,551,14871,1026,24545,NaN,8660,385,14742,119,4086,83416,62402,1093,27325,0,7415,1,81
2021-01-10T00:00:00.000,637,15508,1145,25690,NaN,8660,378,15120,113,4199,83501,62784,1265,28590,0,7415,0,81
2021-01-17T00:00:00.000,667,16175,899,26589,NaN,8660,414,15534,139,4338,83567,63018,985,29575,0,7415,3,84
2021-01-24T00:00:00.000,749,16924,833,27422,NaN,8660,339,15873,113,4451,83547,63442,883,30458,0,7415,2,86
2021-01-31T00:00:00.000,671,17595,692,28114,NaN,8660,372,16245,90,4541,83608,63521,712,31170,0,7415,1,87
2021-02-07T00:00:00.000,603,18198,413,28527,NaN,8660,347,16592,92,4633,83781,64262,404,31574,0,7415,1,88
2021-02-14T00:00:00.000,463,18661,221,28748,NaN,8660,322,16914,61,4694,83781,63628,311,31885,0,7415,1,89
2021-02-21T00:00:00.000,383,19044,186,28934,NaN,8660,244,17158,35,4729,83781,63486,230,32115,0,7415,1,90
2021-02-28T00:00:00.000,319,19363,67,29001,NaN,8660,234,17392,31,4760,83780,63582,185,32300,0,7415,1,91
2021-03-07T00:00:00.000,199,19562,67,29068,NaN,8660,239,17631,25,4785,83621,63790,154,32454,0,7415,0,91
2021-03-14T00:00:00.000,166,19728,58,29126,NaN,8660,234,17865,15,4800,83757,63654,121,32575,0,7415,0,91
2021-03-21T00:00:00.000,128,19856,54,29180,NaN,8660,197,18062,10,4810,82637,62713,122,32697,0,7415,1,92
