week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,33,33,272,272,105,105,162,162,34,34,10496,6608,144,144,31,31,0,0
2020-05-31T00:00:00.000,15,48,28,300,19,124,28,190,7,41,10710,6663,21,165,23,54,0,0
2020-06-07T00:00:00.000,13,61,62,362,25,149,29,219,15,56,11266,7004,66,231,24,78,0,0
2020-06-14T00:00:00.000,26,87,55,417,16,165,41,260,5,61,11715,7118,104,335,33,111,0,0
2020-06-21T00:00:00.000,20,107,148,565,11,176,53,313,24,85,11715,7152,103,438,42,153,2,2
2020-06-28T00:00:00.000,21,128,100,665,4,180,30,343,13,98,11915,7247,190,628,75,228,0,2
2020-07-05T00:00:00.000,64,192,227,892,110,290,35,378,18,116,12053,7273,253,881,75,303,0,2
2020-07-12T00:00:00.000,60,252,352,1244,114,404,65,443,27,143,12053,7105,273,1154,39,342,1,3
2020-07-19T00:00:00.000,121,373,380,1621,60,464,100,542,46,189,11853,7078,306,1442,34,375,0,3
2020-07-26T00:00:00.000,107,480,278,1899,20,484,127,669,72,261,11853,6990,172,1614,15,390,0,3
2020-08-02T00:00:00.000,124,604,254,2153,28,512,84,753,50,311,11859,6965,141,1755,9,399,0,3
2020-08-09T00:00:00.000,97,701,118,2271,20,532,85,838,58,369,11860,6906,77,1832,17,416,2,5
2020-08-16T00:00:00.000,98,799,87,2358,9,541,77,915,49,418,11864,6890,77,1909,8,424,1,6
2020-08-23T00:00:00.000,45,844,63,2421,6,547,46,961,27,445,11856,6922,50,1959,6,430,1,7
2020-08-30T00:00:00.000,72,916,46,2467,5,552,39,1000,21,466,11856,6941,37,1996,1,431,1,8
2020-09-06T00:00:00.000,47,963,24,2491,1,553,50,1050,14,480,11856,6933,32,2028,1,432,2,10
2020-09-13T00:00:00.000,52,1015,21,2512,0,553,39,1089,8,488,11856,6892,21,2049,3,435,1,11
2020-09-20T00:00:00.000,29,1044,22,2534,4,557,32,1121,11,499,11856,6918,44,2093,12,447,0,11
2020-09-27T00:00:00.000,20,1064,16,2550,2,559,35,1156,8,507,11856,6904,15,2108,4,451,0,11
2020-10-04T00:00:00.000,14,1078,27,2577,3,562,24,1180,1,508,11856,6953,11,2119,3,454,0,11
2020-10-11T00:00:00.000,9,1087,9,2586,2,564,30,1210,5,513,11856,6904,24,2143,5,459,0,11
2020-10-18T00:00:00.000,6,1093,13,2599,1,565,28,1238,1,514,11693,6768,31,2174,6,465,0,11
2020-10-25T00:00:00.000,14,1107,16,2615,1,566,23,1261,0,514,11896,6974,15,2189,4,469,0,11
2020-11-01T00:00:00.000,14,1121,18,2633,18,584,27,1288,0,514,11920,6933,14,2203,2,471,0,11
2020-11-08T00:00:00.000,5,1126,38,2671,1,585,27,1315,1,515,11920,6893,40,2243,8,479,0,11
2020-11-15T00:00:00.000,14,1140,15,2686,0,585,26,1341,2,517,11920,6871,32,2275,12,491,0,11
2020-11-22T00:00:00.000,28,1168,23,2709,5,590,29,1370,3,520,11920,6900,31,2306,8,499,0,11
2020-11-29T00:00:00.000,30,1198,44,2753,NaN,590,33,1403,7,527,11920,6911,22,2328,0,499,0,11
2020-12-06T00:00:00.000,50,1248,74,2827,NaN,590,35,1438,9,536,11920,6928,64,2392,0,499,1,12
2020-12-13T00:00:00.000,48,1296,92,2919,NaN,590,29,1467,9,545,12047,7056,89,2481,0,499,0,12
2020-12-20T00:00:00.000,81,1377,105,3024,NaN,590,39,1506,18,563,12047,7005,109,2590,0,499,0,12
2020-12-27T00:00:00.000,66,1443,92,3116,NaN,590,41,1547,12,575,11922,6951,106,2696,0,499,0,12
2021-01-03T00:00:00.000,60,1503,193,3309,NaN,590,33,1580,18,593,11922,6746,126,2822,0,499,0,12
2021-01-10T00:00:00.000,58,1561,160,3469,NaN,590,48,1628,20,613,11922,6786,189,3011,0,499,0,12
2021-01-17T00:00:00.000,122,1683,124,3593,NaN,590,45,1673,24,637,11922,6849,141,3152,0,499,0,12
2021-01-24T00:00:00.000,100,1783,200,3793,NaN,590,51,1724,19,656,11922,6862,127,3279,0,499,0,12
2021-01-31T00:00:00.000,105,1888,109,3902,NaN,590,54,1778,12,668,12171,6917,84,3363,0,499,0,12
2021-02-07T00:00:00.000,73,1961,50,3952,NaN,590,72,1850,27,695,12171,6846,44,3407,0,499,2,14
2021-02-14T00:00:00.000,57,2018,31,3983,NaN,590,54,1904,13,708,12171,6945,34,3441,0,499,3,17
2021-02-21T00:00:00.000,36,2054,12,3995,NaN,590,61,1965,12,720,12045,6854,5,3446,0,499,0,17
2021-02-28T00:00:00.000,18,2072,16,4011,NaN,590,68,2033,3,723,12045,6927,14,3460,0,499,0,17
2021-03-07T00:00:00.000,39,2111,25,4036,NaN,590,40,2073,1,724,11693,6864,12,3472,0,499,0,17
