week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,1109,1109,3134,3134,2027,2027,1721,1721,769,769,36465,27851,2063,2063,1029,1029,11,11
2020-05-31T00:00:00.000,396,1505,519,3653,393,2420,392,2113,213,982,37352,28410,400,2463,226,1255,8,19
2020-06-07T00:00:00.000,355,1860,529,4182,766,3186,365,2478,195,1177,37778,29046,397,2860,142,1397,4,23
2020-06-14T00:00:00.000,434,2294,438,4620,722,3908,286,2764,130,1307,37975,28703,351,3211,176,1573,4,27
2020-06-21T00:00:00.000,286,2580,453,5073,654,4562,261,3025,126,1433,37985,28652,358,3569,231,1804,4,31
2020-06-28T00:00:00.000,290,2870,525,5598,804,5366,192,3217,85,1518,38047,28485,353,3922,159,1963,2,33
2020-07-05T00:00:00.000,287,3157,462,6060,623,5989,140,3357,61,1579,37951,28307,369,4291,152,2115,3,36
2020-07-12T00:00:00.000,305,3462,329,6389,445,6434,191,3548,79,1658,38047,28103,347,4638,197,2312,2,38
2020-07-19T00:00:00.000,303,3765,382,6771,673,7107,176,3724,66,1724,38047,28096,444,5082,236,2548,0,38
2020-07-26T00:00:00.000,347,4112,418,7189,322,7429,138,3862,57,1781,38047,28100,390,5472,115,2663,4,42
2020-08-02T00:00:00.000,328,4440,484,7673,321,7750,165,4027,71,1852,37999,28186,402,5874,118,2781,0,42
2020-08-09T00:00:00.000,268,4708,354,8027,383,8133,131,4158,57,1909,37999,28067,275,6149,90,2871,4,46
2020-08-16T00:00:00.000,313,5021,339,8366,803,8936,171,4329,72,1981,38047,28106,231,6380,93,2964,0,46
2020-08-23T00:00:00.000,271,5292,257,8623,261,9197,166,4495,52,2033,38047,28057,239,6619,62,3026,1,47
2020-08-30T00:00:00.000,250,5542,258,8881,275,9472,166,4661,51,2084,37951,28099,193,6812,78,3104,1,48
2020-09-06T00:00:00.000,205,5747,131,9012,174,9646,148,4809,43,2127,37951,28130,139,6951,42,3146,0,48
2020-09-13T00:00:00.000,170,5917,125,9137,154,9800,127,4936,27,2154,38047,28066,97,7048,39,3185,1,49
2020-09-20T00:00:00.000,169,6086,80,9217,189,9989,96,5032,22,2176,38047,28220,120,7168,32,3217,1,50
2020-09-27T00:00:00.000,142,6228,94,9311,184,10173,102,5134,28,2204,38029,28313,121,7289,34,3251,1,51
2020-10-04T00:00:00.000,169,6397,86,9397,207,10380,89,5223,14,2218,38031,28466,108,7397,43,3294,2,53
2020-10-11T00:00:00.000,142,6539,83,9480,150,10530,83,5306,18,2236,38031,28493,97,7494,43,3337,1,54
2020-10-18T00:00:00.000,145,6684,109,9589,177,10707,88,5394,16,2252,38031,28574,93,7587,39,3376,0,54
2020-10-25T00:00:00.000,123,6807,87,9676,151,10858,74,5468,10,2262,38031,28641,98,7685,28,3404,1,55
2020-11-01T00:00:00.000,122,6929,73,9749,133,10991,90,5558,16,2278,38031,28756,128,7813,33,3437,0,55
2020-11-08T00:00:00.000,152,7081,185,9934,434,11425,95,5653,17,2295,38127,28679,161,7974,38,3475,0,55
2020-11-15T00:00:00.000,169,7250,302,10236,231,11656,95,5748,20,2315,38109,28744,235,8209,65,3540,0,55
2020-11-22T00:00:00.000,240,7490,339,10575,327,11983,127,5875,30,2345,38109,28637,339,8548,84,3624,0,55
2020-11-29T00:00:00.000,217,7707,486,11061,NaN,11983,130,6005,42,2387,38117,28394,452,9000,0,3624,1,56
2020-12-06T00:00:00.000,363,8070,813,11874,NaN,11983,147,6152,52,2439,38119,28272,820,9820,0,3624,0,56
2020-12-13T00:00:00.000,433,8503,934,12808,NaN,11983,216,6368,92,2531,38119,28249,1259,11079,0,3624,1,57
2020-12-20T00:00:00.000,507,9010,1286,14094,NaN,11983,246,6614,145,2676,38020,27875,1484,12563,0,3624,2,59
2020-12-27T00:00:00.000,418,9428,1262,15356,NaN,11983,270,6884,156,2832,38119,27560,1352,13915,0,3624,2,61
2021-01-03T00:00:00.000,558,9986,1335,16691,NaN,11983,333,7217,178,3010,38119,27240,1374,15289,0,3624,3,64
2021-01-10T00:00:00.000,786,10772,1071,17762,NaN,11983,354,7571,210,3220,38119,27126,1070,16359,0,3624,5,69
2021-01-17T00:00:00.000,719,11491,649,18411,NaN,11983,341,7912,170,3390,38120,27242,638,16997,0,3624,5,74
2021-01-24T00:00:00.000,683,12174,439,18850,NaN,11983,279,8191,143,3533,38120,27289,338,17335,0,3624,1,75
2021-01-31T00:00:00.000,553,12727,290,19140,NaN,11983,187,8378,74,3607,38040,27406,197,17532,0,3624,2,77
2021-02-07T00:00:00.000,444,13171,122,19262,NaN,11983,191,8569,70,3677,38040,27378,105,17637,0,3624,4,81
2021-02-14T00:00:00.000,372,13543,60,19322,NaN,11983,144,8713,39,3716,38040,27387,60,17697,0,3624,0,81
2021-02-21T00:00:00.000,256,13799,31,19353,NaN,11983,116,8829,20,3736,37947,27421,47,17744,0,3624,3,84
2021-02-28T00:00:00.000,268,14067,24,19377,NaN,11983,122,8951,20,3756,37884,27447,30,17774,0,3624,1,85
2021-03-07T00:00:00.000,233,14300,8,19385,NaN,11983,110,9061,24,3780,37978,27514,21,17795,0,3624,0,85
2021-03-14T00:00:00.000,152,14452,2,19387,NaN,11983,69,9130,6,3786,37978,27620,14,17809,0,3624,0,85
2021-03-21T00:00:00.000,53,14505,1,19388,NaN,11983,42,9172,5,3791,37879,27639,12,17821,0,3624,0,85
