week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,7,7,6,6,43,43,51,51,0,0,4085,3463,6,6,15,15,0,0
2020-05-31T00:00:00.000,0,7,0,6,2,45,12,63,0,0,4085,3450,3,9,0,15,0,0
2020-06-07T00:00:00.000,6,13,1,7,3,48,14,77,0,0,4305,3641,10,19,9,24,0,0
2020-06-14T00:00:00.000,0,13,1,8,14,62,11,88,0,0,4305,3648,7,26,1,25,0,0
2020-06-21T00:00:00.000,1,14,5,13,7,69,14,102,0,0,4305,3647,17,43,2,27,0,0
2020-06-28T00:00:00.000,2,16,9,22,41,110,18,120,1,1,4305,3622,34,77,7,34,0,0
2020-07-05T00:00:00.000,1,17,17,39,21,131,27,147,0,1,4305,3606,69,146,21,55,0,0
2020-07-12T00:00:00.000,1,18,61,100,55,186,16,163,4,5,4305,3580,166,312,47,102,0,0
2020-07-19T00:00:00.000,11,29,112,212,42,228,20,183,6,11,4305,3500,205,517,37,139,0,0
2020-07-26T00:00:00.000,51,80,146,358,59,287,41,224,19,30,4305,3450,180,697,59,198,1,1
2020-08-02T00:00:00.000,54,134,171,529,26,313,31,255,13,43,4305,3390,114,811,21,219,0,1
2020-08-09T00:00:00.000,49,183,78,607,13,326,22,277,5,48,4305,3348,112,923,23,242,1,2
2020-08-16T00:00:00.000,33,216,43,650,3,329,20,297,8,56,4305,3378,59,982,4,246,0,2
2020-08-23T00:00:00.000,28,244,27,677,6,335,26,323,10,66,4305,3402,21,1003,3,249,0,2
2020-08-30T00:00:00.000,22,266,37,714,7,342,27,350,5,71,4305,3381,14,1017,1,250,0,2
2020-09-06T00:00:00.000,14,280,30,744,7,349,16,366,0,71,4305,3389,27,1044,4,254,0,2
2020-09-13T00:00:00.000,21,301,37,781,8,357,22,388,7,78,4305,3387,23,1067,6,260,0,2
2020-09-20T00:00:00.000,25,326,21,802,10,367,13,401,4,82,4305,3410,37,1104,2,262,0,2
2020-09-27T00:00:00.000,4,330,37,839,8,375,17,418,5,87,4305,3414,23,1127,0,262,0,2
2020-10-04T00:00:00.000,3,333,23,862,1,376,41,459,15,102,4305,3426,25,1152,4,266,0,2
2020-10-11T00:00:00.000,6,339,55,917,9,385,30,489,5,107,4305,3407,38,1190,10,276,0,2
2020-10-18T00:00:00.000,6,345,15,932,7,392,14,503,3,110,4305,3448,24,1214,6,282,0,2
2020-10-25T00:00:00.000,11,356,11,943,3,395,15,518,7,117,4305,3457,18,1232,4,286,0,2
2020-11-01T00:00:00.000,7,363,1,944,1,396,17,535,4,121,4305,3442,12,1244,1,287,0,2
2020-11-08T00:00:00.000,27,390,11,955,7,403,4,539,0,121,4305,3449,17,1261,8,295,0,2
2020-11-15T00:00:00.000,15,405,7,962,7,410,8,547,0,121,4305,3465,19,1280,5,300,0,2
2020-11-22T00:00:00.000,11,416,4,966,2,412,8,555,0,121,4305,3472,16,1296,6,306,0,2
2020-11-29T00:00:00.000,14,430,10,976,NaN,412,12,567,2,123,4305,3463,20,1316,0,306,0,2
2020-12-06T00:00:00.000,16,446,16,992,NaN,412,10,577,0,123,4305,3436,30,1346,0,306,0,2
2020-12-13T00:00:00.000,26,472,31,1023,NaN,412,16,593,4,127,4305,3457,35,1381,0,306,0,2
2020-12-20T00:00:00.000,24,496,51,1074,NaN,412,19,612,4,131,4305,3413,46,1427,0,306,0,2
2020-12-27T00:00:00.000,27,523,57,1131,NaN,412,14,626,1,132,4305,3381,60,1487,0,306,0,2
2021-01-03T00:00:00.000,43,566,69,1200,NaN,412,20,646,9,141,4305,3374,48,1535,0,306,0,2
2021-01-10T00:00:00.000,38,604,61,1261,NaN,412,15,661,6,147,4305,3373,63,1598,0,306,0,2
2021-01-17T00:00:00.000,28,632,25,1286,NaN,412,17,678,8,155,4305,3390,62,1660,0,306,0,2
2021-01-24T00:00:00.000,30,662,44,1330,NaN,412,14,692,4,159,4305,3419,35,1695,0,306,0,2
2021-01-31T00:00:00.000,39,701,30,1360,NaN,412,18,710,4,163,4305,3445,46,1741,0,306,0,2
2021-02-07T00:00:00.000,27,728,37,1397,NaN,412,21,731,7,170,4305,3431,33,1774,0,306,0,2
2021-02-14T00:00:00.000,31,759,21,1418,NaN,412,21,752,2,172,4305,3440,27,1801,0,306,0,2
2021-02-21T00:00:00.000,16,775,24,1442,NaN,412,15,767,2,174,4305,3454,16,1817,0,306,0,2
2021-02-28T00:00:00.000,12,787,12,1454,NaN,412,3,770,1,175,4305,3431,8,1825,0,306,0,2
2021-03-07T00:00:00.000,9,796,8,1462,NaN,412,21,791,1,176,4305,3424,4,1829,0,306,0,2
