week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,248,248,413,413,335,335,152,152,65,65,4946,4142,185,185,96,96,2,2
2020-05-31T00:00:00.000,17,265,33,446,31,366,52,204,8,73,4949,4110,31,216,25,121,1,3
2020-06-07T00:00:00.000,18,283,95,541,45,411,34,238,11,84,5003,4114,76,292,11,132,0,3
2020-06-14T00:00:00.000,26,309,60,601,98,509,26,264,7,91,4967,4126,42,334,13,145,0,3
2020-06-21T00:00:00.000,21,330,55,656,42,551,24,288,0,91,4967,4133,23,357,11,156,0,3
2020-06-28T00:00:00.000,44,374,30,686,66,617,23,311,7,98,4967,4118,46,403,29,185,0,3
2020-07-05T00:00:00.000,46,420,108,794,90,707,20,331,9,107,4967,4098,46,449,32,217,1,4
2020-07-12T00:00:00.000,62,482,71,865,286,993,39,370,23,130,4967,4122,73,522,104,321,0,4
2020-07-19T00:00:00.000,66,548,153,1018,222,1215,51,421,22,152,4967,4051,151,673,142,463,0,4
2020-07-26T00:00:00.000,66,614,233,1251,214,1429,52,473,27,179,4967,3968,122,795,151,614,1,5
2020-08-02T00:00:00.000,75,689,131,1382,59,1488,42,515,15,194,4967,3922,79,874,59,673,0,5
2020-08-09T00:00:00.000,87,776,66,1448,83,1571,40,555,17,211,4967,3864,65,939,27,700,2,7
2020-08-16T00:00:00.000,72,848,167,1615,65,1636,22,577,8,219,4967,3833,69,1008,20,720,0,7
2020-08-23T00:00:00.000,54,902,54,1669,99,1735,22,599,8,227,4967,3831,58,1066,11,731,0,7
2020-08-30T00:00:00.000,45,947,22,1691,20,1755,20,619,6,233,4967,3828,24,1090,5,736,0,7
2020-09-06T00:00:00.000,51,998,41,1732,18,1773,11,630,5,238,4967,3857,13,1103,14,750,1,8
2020-09-13T00:00:00.000,40,1038,19,1751,22,1795,21,651,4,242,4967,3878,19,1122,12,762,0,8
2020-09-20T00:00:00.000,10,1048,10,1761,19,1814,12,663,2,244,4967,3904,2,1124,7,769,0,8
2020-09-27T00:00:00.000,12,1060,8,1769,29,1843,11,674,0,244,4967,3922,9,1133,14,783,0,8
2020-10-04T00:00:00.000,17,1077,3,1772,26,1869,19,693,1,245,4967,3947,7,1140,11,794,0,8
2020-10-11T00:00:00.000,20,1097,9,1781,44,1913,15,708,2,247,4967,3937,17,1157,18,812,0,8
2020-10-18T00:00:00.000,10,1107,22,1803,151,2064,16,724,5,252,4967,3913,27,1184,9,821,0,8
2020-10-25T00:00:00.000,21,1128,48,1851,49,2113,15,739,0,252,4967,3947,36,1220,5,826,0,8
2020-11-01T00:00:00.000,24,1152,43,1894,29,2142,19,758,4,256,4967,3976,61,1281,7,833,0,8
2020-11-08T00:00:00.000,23,1175,62,1956,34,2176,16,774,6,262,4967,3971,34,1315,0,833,0,8
2020-11-15T00:00:00.000,36,1211,42,1998,44,2220,12,786,3,265,4967,3952,50,1365,7,840,0,8
2020-11-22T00:00:00.000,50,1261,63,2061,35,2255,16,802,8,273,4967,3951,77,1442,28,868,0,8
2020-11-29T00:00:00.000,58,1319,91,2152,NaN,2255,8,810,2,275,4967,3947,76,1518,0,868,0,8
2020-12-06T00:00:00.000,78,1397,116,2268,NaN,2255,21,831,7,282,4967,3924,142,1660,0,868,3,11
2020-12-13T00:00:00.000,112,1509,152,2420,NaN,2255,15,846,7,289,4967,3968,215,1875,0,868,0,11
2020-12-20T00:00:00.000,116,1625,257,2677,NaN,2255,24,870,13,302,4967,3949,202,2077,0,868,0,11
2020-12-27T00:00:00.000,125,1750,208,2885,NaN,2255,44,914,23,325,4968,3878,130,2207,0,868,1,12
2021-01-03T00:00:00.000,98,1848,177,3062,NaN,2255,31,945,15,340,4968,3859,153,2360,0,868,1,13
2021-01-10T00:00:00.000,121,1969,108,3170,NaN,2255,36,981,20,360,4968,3850,110,2470,0,868,0,13
2021-01-17T00:00:00.000,122,2091,119,3289,NaN,2255,44,1025,12,372,4968,3868,100,2570,0,868,0,13
2021-01-24T00:00:00.000,132,2223,47,3336,NaN,2255,27,1052,10,382,4968,3885,37,2607,0,868,0,13
2021-01-31T00:00:00.000,110,2333,26,3362,NaN,2255,15,1067,6,388,4968,3948,27,2634,0,868,1,14
2021-02-07T00:00:00.000,55,2388,12,3374,NaN,2255,9,1076,1,389,4968,3980,13,2647,0,868,0,14
2021-02-14T00:00:00.000,22,2410,6,3380,NaN,2255,6,1082,1,390,4910,3953,12,2659,0,868,1,15
2021-02-21T00:00:00.000,42,2452,7,3387,NaN,2255,7,1089,2,392,4910,3918,3,2662,0,868,0,15
2021-02-28T00:00:00.000,43,2495,0,3387,NaN,2255,14,1103,0,392,4910,3867,4,2666,0,868,0,15
2021-03-07T00:00:00.000,14,2509,0,3387,NaN,2255,2,1105,0,392,4910,3887,0,2666,0,868,0,15
