week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,27342,27342,90148,90148,51580,51580,71495,71495,25344,25344,1532907,1118661,48905,48905,42424,42424,285,285
2020-05-31T00:00:00.000,5741,33083,10974,101120,8332,59912,10238,81733,3511,28855,1574447,1140000,9640,58545,7592,50016,59,344
2020-06-07T00:00:00.000,5513,38596,9437,110557,7067,66979,9447,91180,2763,31618,1590530,1158771,7882,66427,6976,56992,47,391
2020-06-14T00:00:00.000,5094,43690,6971,117528,6081,73060,8687,99867,2084,33702,1593719,1154978,5956,72383,5799,62791,31,422
2020-06-21T00:00:00.000,4316,48006,6397,123925,5736,78796,8145,108012,1725,35427,1595634,1159545,6058,78441,5336,68127,29,451
2020-06-28T00:00:00.000,4214,52220,6903,130828,6575,85367,7798,115805,1456,36879,1596972,1158954,6892,85329,6029,74155,23,474
2020-07-05T00:00:00.000,4058,56278,7391,138219,6591,91955,7919,123721,1432,38311,1598582,1159883,8119,93447,6062,80213,28,502
2020-07-12T00:00:00.000,4003,60278,9185,147397,7647,99601,8075,131794,1575,39884,1607828,1156323,10362,103801,7973,88185,28,530
2020-07-19T00:00:00.000,4460,64738,10653,158047,7748,107349,8229,140022,1800,41684,1607912,1154771,11789,115572,7945,96129,24,554
2020-07-26T00:00:00.000,4893,69631,12045,170092,6833,114182,8236,148258,2038,43722,1608415,1152844,11809,127381,7339,103468,43,597
2020-08-02T00:00:00.000,4918,74516,11330,181379,5888,120068,7947,156175,2082,45782,1607770,1152933,10250,137597,5946,109412,31,628
2020-08-09T00:00:00.000,4778,79293,10977,192356,5742,125807,7968,164138,2053,47835,1607112,1147740,9049,146646,5821,115232,33,661
2020-08-16T00:00:00.000,4737,84030,9645,202001,6321,132127,8270,172404,1888,49719,1607086,1147454,8514,155160,5213,120445,32,693
2020-08-23T00:00:00.000,4277,88304,8690,210662,4920,137015,8039,180435,1732,51444,1607114,1146327,7593,162737,4768,125204,23,716
2020-08-30T00:00:00.000,3953,92257,8276,218929,4250,141257,7819,188240,1542,52985,1607063,1145300,6972,169687,4255,129445,38,754
2020-09-06T00:00:00.000,3568,95768,7672,226592,3848,145058,7465,195691,1392,54366,1598574,1145017,7160,176843,4193,133595,23,777
2020-09-13T00:00:00.000,3053,98821,6932,233524,3301,148359,7160,202851,1237,55603,1600259,1142590,7051,183894,4028,137623,21,798
2020-09-20T00:00:00.000,3094,101915,7179,240703,3352,151711,7010,209861,1191,56794,1607173,1143207,7555,191449,4312,141935,13,811
2020-09-27T00:00:00.000,2970,104883,7330,248029,3223,154913,6937,216789,1155,57949,1606603,1143522,7483,198926,4822,146755,20,831
2020-10-04T00:00:00.000,2904,107777,7684,255688,3180,158087,6978,223757,1197,59140,1606658,1145314,7592,206492,5155,151906,22,853
2020-10-11T00:00:00.000,3138,110915,8194,263882,3745,161832,7143,230894,1239,60379,1605032,1141908,7885,214377,4915,156816,22,875
2020-10-18T00:00:00.000,3326,114238,10430,274309,4326,166158,7259,238153,1468,61847,1604079,1141283,9755,224132,4774,161586,24,898
2020-10-25T00:00:00.000,3458,117694,11847,286155,4502,170654,7714,245850,1734,63581,1605216,1139967,10937,235051,4785,166371,17,915
2020-11-01T00:00:00.000,4024,121704,14367,300477,4468,175076,7959,253780,2035,65607,1604721,1137995,13303,248338,5096,171391,23,938
2020-11-08T00:00:00.000,4634,126338,18105,318582,5633,180709,8810,262590,2470,68077,1603658,1134717,17292,265630,6326,177717,25,963
2020-11-15T00:00:00.000,5901,132239,23385,341967,6749,187458,9166,271756,2988,71065,1602647,1130014,22630,288260,7538,185255,30,993
2020-11-22T00:00:00.000,7518,139700,25182,367113,7735,195192,9849,281558,3768,74816,1601548,1124180,23618,311840,7809,193055,48,1041
2020-11-29T00:00:00.000,7363,147063,28004,395102,NaN,195183,11062,292620,4573,79389,1600857,1117880,23888,335711,0,193041,55,1096
2020-12-06T00:00:00.000,8639,155702,32063,427154,NaN,195165,11941,304550,5045,84433,1600187,1107850,27980,363662,0,193018,55,1151
2020-12-13T00:00:00.000,9828,165506,33493,460647,NaN,195165,12492,317042,5802,90235,1600534,1102398,28687,392349,0,193018,44,1195
2020-12-20T00:00:00.000,10312,175818,33595,494242,NaN,195165,12781,329823,6070,96305,1599826,1098844,27783,420132,0,193018,36,1231
