Date,one_minus_vf_one_dose_LTC,New Cases
12/13/2020,0.9999542,183088
12/14/2020,0.9999542,199734
12/15/2020,0.9999542,198853
12/16/2020,0.9999542,245461
12/17/2020,0.9999532,249485
12/18/2020,0.9996894,239380
12/19/2020,0.9996248,200759
12/20/2020,0.9995826,194600
12/21/2020,0.9967822,186071
12/22/2020,0.99347,200675
12/23/2020,0.9894342,233319
12/24/2020,0.989029,197701
12/25/2020,0.989006,136582
12/26/2020,0.9871578,182016
12/27/2020,0.9853928,147703
12/28/2020,0.9735702,177696
12/29/2020,0.9579068,206128
12/30/2020,0.9426316,236598
12/31/2020,0.9394202,232690
01/01/2021,0.9390992,175188
