Date,75+ Years Fully Vaccinated,65-74 Years Fully Vaccinated,75+ Years At Least 1 Dose,65-74 Years At least 1 Dose,,,
2020-12-16,0.0%,0.0%,0.0%,0.0%,,,
2020-12-17,0.0%,0.0%,0.0%,0.0%,,,
2020-12-18,0.0%,0.0%,0.0%,0.0%,,,
2020-12-19,0.0%,0.0%,0.0%,0.0%,,,
2020-12-20,0.0%,0.0%,0.0%,0.1%,,,
2020-12-21,0.0%,0.0%,0.0%,0.1%,,,
2020-12-22,0.0%,0.0%,0.0%,0.1%,,,
2020-12-23,0.0%,0.0%,0.0%,0.2%,,,
2020-12-24,0.0%,0.0%,0.1%,0.2%,,,
2020-12-25,0.0%,0.0%,0.1%,0.3%,,,
2020-12-26,0.0%,0.0%,0.2%,0.4%,,,
2020-12-27,0.0%,0.0%,0.2%,0.4%,,,
2020-12-28,0.0%,0.0%,0.2%,0.4%,,,
2020-12-29,0.0%,0.0%,0.2%,0.4%,,,
2020-12-30,0.0%,0.0%,0.3%,0.5%,,,
2020-12-31,0.0%,0.0%,0.4%,0.7%,,,
2021-01-01,0.0%,0.0%,0.6%,0.8%,,,
2021-01-02,0.0%,0.0%,0.7%,0.9%,,,
2021-01-03,0.0%,0.0%,0.8%,1.0%,,,
2021-01-04,0.0%,0.0%,1.0%,1.0%,,,
2021-01-05,0.0%,0.0%,1.1%,1.1%,,,
2021-01-06,0.0%,0.0%,1.2%,1.2%,,,
2021-01-07,0.0%,0.0%,1.5%,1.4%,,,
2021-01-08,0.0%,0.0%,1.9%,1.7%,,,
2021-01-09,0.0%,0.1%,2.3%,2.0%,,,
2021-01-10,0.0%,0.1%,2.9%,2.4%,,,
2021-01-11,0.1%,0.1%,3.2%,2.5%,,,
2021-01-12,0.1%,0.2%,3.5%,2.7%,,,
2021-01-13,0.1%,0.2%,4.1%,3.0%,,,
2021-01-14,0.1%,0.3%,4.7%,3.3%,,,
2021-01-15,0.1%,0.3%,5.6%,3.7%,,,
2021-01-16,0.2%,0.4%,6.7%,4.4%,,,
2021-01-17,0.2%,0.4%,7.7%,5.0%,,,
2021-01-18,0.2%,0.4%,8.4%,5.3%,,,
2021-01-19,0.2%,0.4%,8.9%,5.6%,,,
2021-01-20,0.3%,0.5%,9.8%,6.1%,,,
2021-01-21,0.3%,0.5%,10.8%,6.7%,,,
2021-01-22,0.4%,0.6%,12.3%,7.6%,,,
2021-01-23,0.6%,0.7%,14.0%,8.5%,,,
2021-01-24,0.6%,0.8%,15.6%,9.5%,,,
2021-01-25,0.7%,0.8%,16.8%,10.2%,,,
2021-01-26,0.7%,0.8%,17.7%,10.7%,,,
2021-01-27,0.9%,0.9%,18.8%,11.4%,,,
2021-01-28,1.1%,1.1%,20.3%,12.4%,,,
2021-01-29,1.3%,1.2%,22.0%,13.5%,,,
2021-01-30,1.7%,1.4%,23.8%,14.6%,,,
2021-01-31,1.9%,1.6%,25.5%,15.7%,,,
2021-02-01,2.2%,1.7%,26.7%,16.5%,,,
2021-02-02,2.3%,1.8%,27.4%,16.9%,,,
2021-02-03,2.6%,1.9%,28.4%,17.6%,,,
2021-02-04,3.0%,2.2%,29.6%,18.5%,,,
2021-02-05,3.5%,2.5%,31.0%,19.6%,,,
2021-02-06,4.3%,2.9%,32.7%,21.0%,,,
2021-02-07,5.0%,3.4%,34.3%,22.3%,,,
2021-02-08,5.3%,3.6%,35.3%,23.1%,,,
2021-02-09,5.7%,3.8%,36.0%,23.7%,,,
2021-02-10,6.5%,4.2%,37.1%,24.7%,,,
2021-02-11,7.3%,4.7%,38.3%,25.7%,,,
2021-02-12,8.4%,5.3%,39.6%,27.0%,,,
2021-02-13,9.7%,6.0%,41.2%,28.4%,,,
2021-02-14,10.9%,6.8%,42.6%,29.9%,,,
2021-02-15,11.7%,7.2%,43.5%,30.9%,,,
2021-02-16,12.2%,7.5%,44.1%,31.6%,,,
2021-02-17,12.9%,7.9%,44.8%,32.4%,,,
2021-02-18,13.9%,8.6%,45.6%,33.3%,,,
2021-02-19,15.2%,9.4%,46.8%,34.5%,,,
2021-02-20,16.5%,10.2%,47.6%,35.5%,,,
2021-02-21,18.0%,11.1%,48.5%,36.5%,,,
2021-02-22,18.9%,11.6%,49.1%,37.1%,,,
2021-02-23,19.5%,12.0%,49.4%,37.5%,,,
2021-02-24,20.6%,12.6%,50.1%,38.4%,,,
2021-02-25,21.9%,13.5%,50.9%,39.4%,,,
2021-02-26,23.4%,14.5%,52.0%,40.7%,,,
2021-02-27,25.0%,15.6%,53.1%,42.2%,,,
2021-02-28,26.6%,16.7%,54.2%,43.7%,,,
