administered_date total_doses
2021-04-06 28180
2021-04-05 35587
2021-04-04 12373
2021-04-03 32851
2021-04-02 56535
2021-04-01 64012
2021-03-31 67462
2021-03-30 66220
2021-03-29 52707
2021-03-28 26218
2021-03-27 53911
2021-03-26 79923
2021-03-25 75955
2021-03-24 73718
2021-03-23 67392
2021-03-22 52437
2021-03-21 20489
2021-03-20 45575
2021-03-19 81481
2021-03-18 91092
2021-03-17 99600
2021-03-16 113160
2021-03-15 94136
2021-03-14 38733
2021-03-13 77925
2021-03-12 124870
2021-03-11 130320
2021-03-10 112297
2021-03-09 105545
2021-03-08 73022
2021-03-07 44679
2021-03-06 83489
2021-03-05 116411
2021-03-04 141622
2021-03-03 150241
2021-03-02 132472
2021-03-01 120651
2021-02-28 70628
2021-02-27 140137
2021-02-26 191925
2021-02-25 184537
2021-02-24 171123
2021-02-23 137299
2021-02-22 96622
2021-02-21 45878
2021-02-20 94088
2021-02-19 150507
2021-02-18 172130
2021-02-17 169018
2021-02-16 163018
2021-02-15 96976
2021-02-14 68485
2021-02-13 109494
2021-02-12 158233
2021-02-11 155089
2021-02-10 140744
2021-02-09 118580
2021-02-08 109242
2021-02-07 45737
2021-02-06 103078
2021-02-05 138043
2021-02-04 137580
2021-02-03 129357
2021-02-02 116751
2021-02-01 98716
2021-01-31 54894
2021-01-30 90043
2021-01-29 112295
2021-01-28 118958
2021-01-27 108505
2021-01-26 102087
2021-01-25 85227
2021-01-24 41708
2021-01-23 70885
2021-01-22 98714
2021-01-21 101445
2021-01-20 78079
2021-01-19 60558
2021-01-18 41745
2021-01-17 26178
2021-01-16 34936
2021-01-15 44161
2021-01-14 34493
2021-01-13 25062
2021-01-12 19575
2021-01-11 17613
2021-01-10 2738
2021-01-09 5316
2021-01-08 13472
2021-01-07 12491
2021-01-06 10122
2021-01-05 8809
2021-01-04 6982
2021-01-03 824
2021-01-02 3015
2021-01-01 783
2020-12-31 3649
2020-12-30 9179
2020-12-29 6540
2020-12-28 4832
2020-12-27 632
2020-12-26 994
2020-12-25 240
2020-12-24 2072
2020-12-23 4061
2020-12-22 3599
2020-12-21 3462
2020-12-20 1165
2020-12-19 1823
2020-12-18 3252
2020-12-17 1998
2020-12-16 558
2020-12-15 66
