Date,New Cases,7-Day Moving Avg
Apr 10 2021,68012,66570
Apr 9 2021,81376,66633
Apr 8 2021,75956,64393
Apr 7 2021,75306,64344
Apr 6 2021,61448,63517
Apr 5 2021,62504,63722
Apr 4 2021,41389,63589
Apr 3 2021,68452,64449
Apr 2 2021,65701,63713
Apr 1 2021,75610,64520
Mar 31 2021,69520,63486
Mar 30 2021,62884,63099
Mar 29 2021,61570,62610
Mar 28 2021,47406,61742
Mar 27 2021,63303,60548
Mar 26 2021,71350,60149
Mar 25 2021,68370,58773
Mar 24 2021,66816,57390
Mar 23 2021,59458,56203
Mar 22 2021,55491,55154
Mar 21 2021,39048,53714
Mar 20 2021,60512,53889
Mar 19 2021,61717,52801
Mar 18 2021,58692,52957
Mar 17 2021,58503,53305
Mar 16 2021,52119,53144
Mar 15 2021,45407,53288
Mar 14 2021,40274,52920
Mar 13 2021,52901,53166
Mar 12 2021,62805,53906
Mar 11 2021,61126,54394
Mar 10 2021,57378,55168
Mar 9 2021,53130,56111
Mar 8 2021,42832,56418
Mar 7 2021,41992,57556
Mar 6 2021,58085,58739
Mar 5 2021,66221,60493
Mar 4 2021,66539,61479
Mar 3 2021,63979,62537
Mar 2 2021,55280,64054
Mar 1 2021,50802,66200
Feb 28 2021,50272,66914
Feb 27 2021,70363,67463
Feb 26 2021,73118,67366
Feb 25 2021,73946,67342
Feb 24 2021,74598,66506
Feb 23 2021,70301,65757
Feb 22 2021,55803,63980
Feb 21 2021,54114,63910
Feb 20 2021,69686,65583
Feb 19 2021,72948,68295
Feb 18 2021,68098,71800
Feb 17 2021,69349,76602
Feb 16 2021,57863,80461
Feb 15 2021,55312,85264
Feb 14 2021,65829,89134
Feb 13 2021,88666,92718
Feb 12 2021,97483,95596
Feb 11 2021,101716,99932
Feb 10 2021,96363,103485
Feb 9 2021,91484,106771
Feb 8 2021,82399,110665
Feb 7 2021,90920,116941
Feb 6 2021,108807,120082
Feb 5 2021,127841,126735
Feb 4 2021,126581,129825
Feb 3 2021,119369,134394
Feb 2 2021,118741,139782
Feb 1 2021,126331,144178
Jan 31 2021,112904,145365
Jan 30 2021,155384,149268
Jan 29 2021,149468,151535
Jan 28 2021,158567,157527
Jan 27 2021,157083,161941
Jan 26 2021,149509,166442
Jan 25 2021,134641,166312
Jan 24 2021,140229,168605
Jan 23 2021,171248,175082
Jan 22 2021,191415,181199
Jan 21 2021,189463,189132
Jan 20 2021,188590,194436
Jan 19 2021,148601,199570
Jan 18 2021,150690,209993
Jan 17 2021,185572,217275
Jan 16 2021,214063,222014
Jan 15 2021,246950,226533
Jan 14 2021,226587,236235
Jan 13 2021,224532,244107
Jan 12 2021,221561,247901
Jan 11 2021,201665,249592
Jan 10 2021,218743,246192
Jan 9 2021,245699,244567
Jan 8 2021,314861,249696
Jan 7 2021,281690,229743
Jan 6 2021,251094,222743
Jan 5 2021,233398,220672
Jan 4 2021,177865,216776
Jan 3 2021,207368,216752
Jan 2 2021,281601,208229
Jan 1 2021,175188,194002
Dec 31 2020,232690,188487
Dec 30 2020,236598,183489
Dec 29 2020,206128,183020
Dec 28 2020,177696,182241
Dec 27 2020,147703,183438
Dec 26 2020,182016,190137
Dec 25 2020,136582,192815
Dec 24 2020,197701,207500
Dec 23 2020,233319,214898
Dec 22 2020,200675,216633
Dec 21 2020,186071,216372
Dec 20 2020,194600,218324
Dec 19 2020,200759,216680
Dec 18 2020,239380,219345
Dec 17 2020,249485,221118
Dec 16 2020,245461,215894
Dec 15 2020,198853,212023
Dec 14 2020,199734,216112
Dec 13 2020,183088,215109
Dec 12 2020,219419,214067
Dec 11 2020,251786,212967
Dec 10 2020,212920,209435
Dec 9 2020,218361,211008
Dec 8 2020,227476,209260
Dec 7 2020,192717,203537
Dec 6 2020,175792,198407
Dec 5 2020,211721,193067
Dec 4 2020,227058,183992
Dec 3 2020,223936,176509
Dec 2 2020,206124,166152
Dec 1 2020,187411,163932
Nov 30 2020,156809,161866
Nov 29 2020,138412,162666
Nov 28 2020,148200,164645
Nov 27 2020,174671,168922
Nov 26 2020,151442,172474
Nov 25 2020,190583,177882
Nov 24 2020,172947,174705
Nov 23 2020,162409,173413
Nov 22 2020,152263,172608
Nov 21 2020,178143,171277
Nov 20 2020,199531,169178
Nov 19 2020,189301,166550
Nov 18 2020,168342,162365
Nov 17 2020,163907,160019
Nov 16 2020,156771,156777
Nov 15 2020,142950,152094
Nov 14 2020,163446,146977
Nov 13 2020,181135,137468
Nov 12 2020,160007,130632
Nov 11 2020,151918,125252
Nov 10 2020,141212,119433
Nov 9 2020,123996,112769
Nov 8 2020,107128,107703
Nov 7 2020,96884,102907
Nov 6 2020,133284,101758
Nov 5 2020,122347,96969
Nov 4 2020,111186,92597
Nov 3 2020,94563,88838
Nov 2 2020,88529,85910
Nov 1 2020,73556,82778
Oct 31 2020,88843,81367
Oct 30 2020,99762,80281
Oct 29 2020,91745,78123
Oct 28 2020,84870,75817
Oct 27 2020,74069,72991
Oct 26 2020,66605,71176
Oct 25 2020,63677,70072
Oct 24 2020,81245,68108
Oct 23 2020,84655,64359
Oct 22 2020,75600,62035
Oct 21 2020,65088,60441
Oct 20 2020,61362,59322
Oct 19 2020,58880,57757
Oct 18 2020,49932,56038
Oct 17 2020,54997,55835
Oct 16 2020,68392,55348
Oct 15 2020,64439,53983
Oct 14 2020,57255,52815
Oct 13 2020,50410,52446
Oct 12 2020,46843,51037
Oct 11 2020,48512,50179
Oct 10 2020,51589,48489
Oct 9 2020,58838,47999
Oct 8 2020,56259,46833
Oct 7 2020,54674,45620
Oct 6 2020,40546,44507
Oct 5 2020,40839,44300
Oct 4 2020,36680,43644
Oct 3 2020,48157,43626
Oct 2 2020,50681,43188
Oct 1 2020,47769,43346
