Death Daily Trends - United States
Date generated: Sun Apr 11 2021 18:25:48 GMT-0500 (Central Daylight Time)
Date,New Deaths,7-Day Moving Avg
Apr 10 2021,750,683
Apr 9 2021,904,675
Apr 8 2021,940,663
Apr 7 2021,773,639
Apr 6 2021,708,662
Apr 5 2021,344,662
Apr 4 2021,368,701
Apr 3 2021,691,721
Apr 2 2021,817,730
Apr 1 2021,773,781
Mar 31 2021,937,822
Mar 30 2021,710,846
Mar 29 2021,613,848
Mar 28 2021,509,897
Mar 27 2021,751,885
Mar 26 2021,1180,875
Mar 25 2021,1056,882
Mar 24 2021,1109,866
Mar 23 2021,723,853
Mar 22 2021,951,883
Mar 21 2021,431,855
Mar 20 2021,675,876
Mar 19 2021,1233,912
Mar 18 2021,945,889
Mar 17 2021,1019,952
Mar 16 2021,929,1006
Mar 15 2021,755,1051
Mar 14 2021,576,1074
Mar 13 2021,930,1117
Mar 12 2021,1072,1197
Mar 11 2021,1388,1334
Mar 10 2021,1397,1364
Mar 9 2021,1244,1407
Mar 8 2021,915,1508
Mar 7 2021,873,1562
Mar 6 2021,1496,1566
Mar 5 2021,2028,1600
Mar 4 2021,1600,1583
Mar 3 2021,1694,1672
Mar 2 2021,1950,1742
Mar 1 2021,1298,1750
Feb 28 2021,899,1794
Feb 27 2021,1733,1847
Feb 26 2021,1913,1889
Feb 25 2021,2217,1978
Feb 24 2021,2185,2011
Feb 23 2021,2007,2080
Feb 22 2021,1608,2007
Feb 21 2021,1266,1956
Feb 20 2021,2027,1959
Feb 19 2021,2536,1959
Feb 18 2021,2451,1994
Feb 17 2021,2668,2117
Feb 16 2021,1498,2229
Feb 15 2021,1251,2406
Feb 14 2021,1286,2458
Feb 13 2021,2027,2494
Feb 12 2021,2780,2593
Feb 11 2021,3314,2683
Feb 10 2021,3451,2705
Feb 9 2021,2736,2724
Feb 8 2021,1618,2812
Feb 7 2021,1537,2848
Feb 6 2021,2716,2923
Feb 5 2021,3413,2938
Feb 4 2021,3466,2947
Feb 3 2021,3584,2969
Feb 2 2021,3353,3017
Feb 1 2021,1868,3070
Jan 31 2021,2066,3117
Jan 30 2021,2816,3120
Jan 29 2021,3481,3188
Jan 28 2021,3618,3235
Jan 27 2021,3917,3282
Jan 26 2021,3725,3335
Jan 25 2021,2201,3136
Jan 24 2021,2086,3103
Jan 23 2021,3288,3097
Jan 22 2021,3812,3129
Jan 21 2021,3948,3101
Jan 20 2021,4290,3093
Jan 19 2021,2333,3069
Jan 18 2021,1967,3339
Jan 17 2021,2046,3386
Jan 16 2021,3512,3417
Jan 15 2021,3617,3415
Jan 14 2021,3891,3419
Jan 13 2021,4121,3456
Jan 12 2021,4221,3417
Jan 11 2021,2298,3333
Jan 10 2021,2263,3305
Jan 9 2021,3498,3224
Jan 8 2021,3642,3080
Jan 7 2021,4154,2916
Jan 6 2021,3843,2787
Jan 5 2021,3638,2773
Jan 4 2021,2099,2749
Jan 3 2021,1695,2730
Jan 2 2021,2495,2724
Jan 1 2021,2491,2589
Dec 31 2020,3254,2466
Dec 30 2020,3742,2404
Dec 29 2020,3470,2362
Dec 28 2020,1963,2329
Dec 27 2020,1659,2320
Dec 26 2020,1548,2330
Dec 25 2020,1626,2483
Dec 24 2020,2824,2643
Dec 23 2020,3445,2730
Dec 22 2020,3240,2733
Dec 21 2020,1902,2693
Dec 20 2020,1727,2685
Dec 19 2020,2622,2663
Dec 18 2020,2745,2625
Dec 17 2020,3432,2667
Dec 16 2020,3465,2581
Dec 15 2020,2963,2548
Dec 14 2020,1847,2505
Dec 13 2020,1573,2494
Dec 12 2020,2356,2448
Dec 11 2020,3035,2445
Dec 10 2020,2833,2361
Dec 9 2020,3234,2370
Dec 8 2020,2657,2305
Dec 7 2020,1775,2289
Dec 6 2020,1250,2241
Dec 5 2020,2334,2203
Dec 4 2020,2450,2061
Dec 3 2020,2894,1920
Dec 2 2020,2781,1711
Dec 1 2020,2544,1643
Nov 30 2020,1437,1573
Nov 29 2020,982,1548
Nov 28 2020,1345,1554
Nov 27 2020,1460,1567
Nov 26 2020,1432,1631
Nov 25 2020,2307,1713
Nov 24 2020,2050,1645
Nov 23 2020,1265,1589
Nov 22 2020,1020,1541
Nov 21 2020,1440,1502
Nov 20 2020,1906,1482
Nov 19 2020,2007,1400
