Date,one_minus_vf_LTC
12/13/2020,1
12/14/2020,1
12/15/2020,1
12/16/2020,1
12/17/2020,1
12/18/2020,1
12/19/2020,1
12/20/2020,1
12/21/2020,1
12/22/2020,0.9999982
12/23/2020,0.9999956
12/24/2020,0.9999924
12/25/2020,0.9999924
12/26/2020,0.9999898
12/27/2020,0.9999882
12/28/2020,0.9999842
12/29/2020,0.9999692
12/30/2020,0.9999198
12/31/2020,0.9999058
01/01/2021,0.999905
01/02/2021,0.9998974
01/03/2021,0.999886
01/04/2021,0.9998744
01/05/2021,0.9998538
01/06/2021,0.999819
01/07/2021,0.9997508
01/08/2021,0.9995012
01/09/2021,0.9994338
01/10/2021,0.9993772
01/11/2021,0.9971026
01/12/2021,0.9944206
01/13/2021,0.9912604
01/14/2021,0.9906632
01/15/2021,0.9903706
01/16/2021,0.9889572
01/17/2021,0.9878266
01/18/2021,0.9797268
01/19/2021,0.9702048
01/20/2021,0.961522
01/21/2021,0.9593256
01/22/2021,0.9584314
01/23/2021,0.9528248
01/24/2021,0.9489526
01/25/2021,0.9374226
01/26/2021,0.923374
01/27/2021,0.9092522
01/28/2021,0.8949782
01/29/2021,0.8823502
01/30/2021,0.8753602
01/31/2021,0.8704654
02/01/2021,0.8534576
02/02/2021,0.835374
02/03/2021,0.8160094
02/04/2021,0.7953472
02/05/2021,0.7760348
02/06/2021,0.7661116
02/07/2021,0.7591624
02/08/2021,0.7417652
02/09/2021,0.723152
02/10/2021,0.7032732
02/11/2021,0.6840618
02/12/2021,0.666839
02/13/2021,0.6583864
02/14/2021,0.652793
02/15/2021,0.6394876
02/16/2021,0.625492
02/17/2021,0.6103298
02/18/2021,0.5956702
02/19/2021,0.5810408
02/20/2021,0.5729242
02/21/2021,0.5671246
02/22/2021,0.554279
02/23/2021,0.5417864
02/24/2021,0.5284862
02/25/2021,0.515011
02/26/2021,0.5056696
02/27/2021,0.4999182
02/28/2021,0.4969006
03/01/2021,0.4919924
03/02/2021,0.486846
03/03/2021,0.4812262
03/04/2021,0.475474
03/05/2021,0.470171
03/06/2021,0.4679014
03/07/2021,0.4664734
03/08/2021,0.4632152
03/09/2021,0.4597078
03/10/2021,0.456546
03/11/2021,0.4534702
03/12/2021,0.4505956
03/13/2021,0.4490968
03/14/2021,0.4478894
03/15/2021,0.445889
03/16/2021,0.4440272
03/17/2021,0.4420496
03/18/2021,0.440062
03/19/2021,0.4382074
03/20/2021,0.4372044
03/21/2021,0.4367282
03/22/2021,0.4357274
03/23/2021,0.4348698
03/24/2021,0.4339496
03/25/2021,0.433015
03/26/2021,0.4322598
03/27/2021,0.4320196
03/28/2021,0.4318704
03/29/2021,0.4314198
03/30/2021,0.4309116
03/31/2021,0.4304698
04/01/2021,0.430128
04/02/2021,0.429803
04/03/2021,0.4297298
04/04/2021,0.429711
04/05/2021,0.4294896
04/06/2021,0.4291674
04/07/2021,0.4289352
04/08/2021,0.4289264
04/09/2021,0.4289264
