week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,27320,27320,90215,90215,51570,51570,72125,72125,25361,25361,1533588,1119416,49366,49366,42424,42424,289,289
2020-05-31T00:00:00.000,5766,33086,11003,101216,8297,59867,10258,82383,3508,28869,1575393,1140817,9771,59137,7561,49985,58,347
2020-06-07T00:00:00.000,5426,38512,9359,110575,7061,66928,9462,91845,2747,31616,1591090,1159128,8007,67144,6950,56935,51,398
2020-06-14T00:00:00.000,4995,43507,6943,117518,6081,73009,8681,100526,2049,33665,1594290,1155296,5962,73106,5797,62732,35,433
2020-06-21T00:00:00.000,4299,47806,6375,123893,5736,78745,8146,108672,1702,35367,1596228,1159866,6093,79199,5328,68060,33,466
2020-06-28T00:00:00.000,4249,52055,6888,130781,6564,85305,7720,116387,1444,36807,1597566,1159275,6932,86127,6028,74087,27,493
2020-07-05T00:00:00.000,4111,56166,7384,138165,6579,91881,7870,124254,1423,38230,1599190,1160280,8114,94240,6062,80145,32,525
2020-07-12T00:00:00.000,3999,60162,9316,147474,7650,99530,7969,132221,1555,39783,1608355,1156646,10529,104761,8094,88238,28,553
2020-07-19T00:00:00.000,4533,64695,10652,158123,7739,107269,8108,140328,1722,41505,1608522,1155198,11865,116608,7961,96198,24,577
2020-07-26T00:00:00.000,4929,69624,12042,170165,6845,114114,8207,148535,2034,43539,1608931,1153121,11936,128544,7329,103526,51,628
2020-08-02T00:00:00.000,4976,74567,11326,181448,5883,119995,7973,156478,2076,45593,1608434,1153287,10325,138835,5953,109477,39,667
2020-08-09T00:00:00.000,4808,79374,10974,192422,5746,125738,8003,164476,2048,47641,1607754,1148035,9202,148037,5807,115283,37,704
2020-08-16T00:00:00.000,4774,84148,9645,202067,6316,132053,8344,172816,1883,49520,1607706,1147908,8552,156589,5206,120489,44,748
2020-08-23T00:00:00.000,4277,88422,8751,210789,4928,136949,8035,180843,1731,51244,1607739,1146681,7593,164166,4764,125244,27,775
2020-08-30T00:00:00.000,4074,92496,8333,219113,4247,141188,8087,188916,1539,52782,1607671,1145711,6972,171116,4250,129480,38,813
2020-09-06T00:00:00.000,3568,96007,7672,226776,3838,144979,7740,196642,1390,54161,1599020,1145356,7196,178308,4184,133621,31,844
2020-09-13T00:00:00.000,3108,99115,6930,233706,3299,148278,7512,204154,1237,55398,1600779,1142946,7050,185358,4022,137643,21,865
2020-09-20T00:00:00.000,3129,102244,7179,240885,3360,151638,7309,211463,1193,56591,1607758,1143640,7551,192909,4307,141950,13,878
2020-09-27T00:00:00.000,2970,105212,7309,248190,3227,154844,7256,218711,1154,57745,1607266,1144102,7476,200379,4816,146764,20,898
2020-10-04T00:00:00.000,2930,108132,7674,255839,3178,158016,7275,225976,1188,58927,1607273,1145726,7630,207983,5144,151904,26,924
2020-10-11T00:00:00.000,3137,111269,8181,264020,3752,161768,7532,233502,1242,60169,1605635,1142293,7946,215929,4870,156769,34,958
2020-10-18T00:00:00.000,3325,114591,10438,274455,4352,166120,7619,241121,1466,61635,1604903,1141873,9795,225724,4780,161545,24,981
2020-10-25T00:00:00.000,3491,118080,11946,286400,4517,170631,8122,249226,1733,63368,1605945,1140418,11004,236710,4777,166322,21,1002
2020-11-01T00:00:00.000,4052,122118,14453,300804,4481,175062,8538,257735,2018,65377,1605598,1138541,13342,250030,5088,171323,23,1025
2020-11-08T00:00:00.000,4941,127059,18119,318923,5638,180700,9332,267067,2478,67855,1604654,1135371,17340,267370,6326,177649,25,1050
2020-11-15T00:00:00.000,5972,133031,23460,342383,6748,187448,9542,276609,2996,70851,1603132,1130361,22806,290176,7530,185179,30,1080
2020-11-22T00:00:00.000,7558,140532,25153,367500,7678,195125,10352,286914,3778,74612,1602448,1124773,23676,313814,7733,192903,48,1128
2020-11-29T00:00:00.000,7501,148030,27697,395104,NaN,195116,11844,298746,4567,79171,1601562,1118370,23915,337690,0,192885,82,1210
2020-12-06T00:00:00.000,8700,156730,32101,427194,NaN,195098,12435,311170,5033,84203,1600963,1108444,28130,365791,0,192862,62,1272
2020-12-13T00:00:00.000,9980,166686,33592,460786,NaN,195098,12666,323836,5816,90019,1601424,1103005,28901,394692,0,192862,60,1332
2020-12-20T00:00:00.000,10396,177082,33709,494495,NaN,195098,12983,336819,6094,96113,1600472,1099260,28064,422756,0,192862,43,1375
2020-12-27T00:00:00.000,9614,186696,28873,523368,NaN,195098,12730,349544,5645,101758,1599506,1086463,25100,447856,0,192861,47,1422
2021-01-03T00:00:00.000,9472,196158,27278,550572,NaN,195040,12358,361883,5492,107238,1599471,1078741,24851,472683,5,192853,61,1483
2021-01-10T00:00:00.000,10723,206880,26253,576825,NaN,195029,12079,373958,5238,112476,1600586,1078676,23744,496415,0,192847,58,1541
2021-01-17T00:00:00.000,11393,218267,21274,598044,NaN,194978,11564,385501,4715,117181,1600873,1083397,19100,515463,0,192836,56,1597
2021-01-24T00:00:00.000,10790,229041,17010,615022,NaN,194970,10757,396213,4022,121187,1600782,1084982,14528,529938,0,192833,44,1641
2021-01-31T00:00:00.000,9341,238376,11375,626276,NaN,194956,9550,405712,3130,124286,1601140,1089055,9731,539598,0,192826,53,1694
2021-02-07T00:00:00.000,7616,245992,6474,632750,NaN,194956,8512,414224,2216,126502,1604890,1091180,6191,545789,0,192826,40,1734
2021-02-14T00:00:00.000,6421,252402,4036,636701,NaN,194956,7456,421646,1484,127972,1604878,1090020,4546,550234,0,192823,30,1763
2021-02-21T00:00:00.000,4948,257349,2286,638979,NaN,194956,6859,428505,906,128878,1600240,1090079,2973,553188,0,192811,26,1789
2021-02-28T00:00:00.000,4220,261569,1712,640691,NaN,194956,6604,435109,729,129607,1597732,1090514,2603,555791,0,192811,20,1809
2021-03-07T00:00:00.000,3329,264895,1373,642057,NaN,194956,6218,441325,516,130123,1596502,1092330,2138,557919,0,192811,13,1822
2021-03-14T00:00:00.000,2881,267774,1140,643178,NaN,194956,5490,446805,413,130533,1594410,1094550,1881,559784,0,192811,17,1839
2021-03-21T00:00:00.000,2780,270538,975,644081,NaN,194936,5646,452426,341,130871,1589100,1092688,1952,561696,0,192797,21,1860
2021-03-28T00:00:00.000,2467,273005,913,644994,NaN,194936,5356,457782,313,131184,1594360,1100811,2203,563899,0,192797,8,1868
2021-04-04T00:00:00.000,1923,274928,764,645758,NaN,194936,4255,462037,219,131403,1585385,1097231,2141,566040,0,192797,7,1875
