Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,4/9/2021,US,0,0,0,178837781,114436039,62854301,957024,1621188,659715,null,null,0,114436039,68202461,824401
Admin,4/8/2021,US,434527,255070,178609,178837781,114436039,62854301,1230253,2086787,850306,null,null,242715,114436039,68202461,1046747
Admin,4/7/2021,US,2519822,1490768,1023557,178403254,114180969,62675692,1523647,2594250,1062739,null,null,1333385,114180969,67959746,1286463
Admin,4/6/2021,US,3020355,1784563,1227219,175883432,112690201,61652135,1630167,2769545,1130811,null,null,1557945,112690201,66626361,1338406
Admin,4/5/2021,US,2655844,1533188,1114568,172863077,110905638,60424916,1643174,2795079,1143233,null,null,1341646,110905638,65068416,1319673
Admin,4/4/2021,US,674751,413926,258164,170207233,109372450,59310348,1640128,2783295,1134034,null,null,308293,109372450,63726770,1288925
Admin,4/3/2021,US,2043017,1221652,815891,169532482,108958524,59052184,1672598,2845810,1163663,null,null,986827,108958524,63418477,1315137
Admin,4/2/2021,US,3259196,1912604,1334132,167489465,107736872,58236293,1681728,2876637,1185031,null,null,1556422,107736872,62431650,1323776
Admin,4/1/2021,US,3986767,2308829,1665644,164230269,105824268,56902161,1691796,2909064,1207465,null,null,1920729,105824268,60875228,1330909
Admin,3/31/2021,US,3746888,2236410,1500059,160243502,103515439,55236517,1668516,2842879,1164439,null,null,1696981,103515439,58954499,1267674
Admin,3/30/2021,US,3199091,1875612,1314171,156496614,101279029,53736458,1649399,2778343,1118669,null,null,1426814,101279029,57257518,1209238
Admin,3/29/2021,US,2573359,1511862,1050176,153297523,99403417,52422287,1653038,2727407,1064006,null,null,1126412,99403417,55830704,1153051
Admin,3/28/2021,US,1112357,641219,465567,150724164,97891555,51372111,1654177,2670386,1006387,null,null,491778,97891555,54704292,1095877
Admin,3/27/2021,US,2258801,1285563,965468,149611807,97250336,50906544,1654305,2644950,981185,null,null,1047299,97250336,54212514,1073470
Admin,3/26/2021,US,3486185,1983076,1491170,147353006,95964773,49941076,1656237,2600005,934533,null,null,1606353,95964773,53165215,1033354
Admin,3/25/2021,US,3523478,2145868,1364465,143866821,93981697,48449906,1668880,2535675,857749,null,null,1478084,93981697,51558862,960099
