Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,4/9/2021,LTC,0,0,0,7759386,4843853,2851494,720,1292,484,null,null,0,4843853,2855368,626
Admin,4/8/2021,LTC,51,6,44,7759386,4843853,2851494,900,1990,677,null,null,44,4843853,2855368,858
Admin,4/7/2021,LTC,2093,1289,797,7759335,4843847,2851450,1211,2608,857,null,null,1161,4843847,2855324,1096
Admin,4/6/2021,LTC,2866,1640,1222,7757242,4842558,2850653,1337,2868,982,null,null,1611,4842558,2854163,1245
Admin,4/5/2021,LTC,2661,1771,869,7754376,4840918,2849431,1363,3021,1106,null,null,1107,4840918,2852552,1378
Admin,4/4/2021,LTC,195,86,93,7751715,4839147,2848562,1381,3231,1290,null,null,94,4839147,2851445,1542
Admin,4/3/2021,LTC,1184,248,366,7751520,4839061,2848469,1408,3349,1383,null,null,366,4839061,2851351,1635
Admin,4/2/2021,LTC,4880,1262,1349,7750336,4838813,2848103,1428,3408,1500,null,null,1625,4838813,2850985,1754
Admin,4/1/2021,LTC,4378,2183,1300,7745456,4837551,2846754,1691,3681,1818,null,null,1709,4837551,2849360,2062
Admin,3/31/2021,LTC,3914,2166,1678,7741078,4835368,2845454,1822,4141,2262,null,null,2209,4835368,2847651,2485
Admin,3/30/2021,LTC,3939,1824,2090,7737164,4833202,2843776,1929,4610,2626,null,null,2541,4833202,2845442,2827
Admin,3/29/2021,LTC,4128,1901,2151,7733225,4831378,2841686,2075,5060,2928,null,null,2253,4831378,2842901,3076
Admin,3/28/2021,LTC,1022,269,746,7729097,4829477,2839535,2199,5609,3334,null,null,746,4829477,2840648,3469
