Date,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Daily Count of People Fully Vaccinated,New Cases,New Deaths
12/13/2020,12403,10886,1355,1416,183088,1573
12/14/2020,3717,3589,5,12,199734,1847
12/15/2020,49295,45830,25,29,198853,2963
12/16/2020,159028,152129,200,207,245461,3465
12/17/2020,271286,260274,498,503,249485,3432
12/18/2020,413793,402242,593,593,239380,2745
12/19/2020,180278,175520,710,711,200759,2622
12/20/2020,103105,100823,500,535,194600,1727
12/21/2020,378333,369860,816,820,186071,1902
12/22/2020,445036,435683,2070,2071,200675,3240
12/23/2020,563527,551373,1630,1632,233319,3445
12/24/2020,192136,186565,852,853,197701,2824
12/25/2020,12013,11911,46,46,136582,1626
12/26/2020,137140,134601,340,342,182016,1548
12/27/2020,92290,90396,316,317,147703,1659
12/28/2020,571381,557166,2271,2274,177696,1963
12/29/2020,700564,679379,2962,2966,206128,3470
12/30/2020,818471,795574,5038,5041,236598,3742
12/31/2020,411265,399742,1937,1937,232690,3254
01/01/2021,44047,41940,1326,1371,175188,2491
01/02/2021,248239,241446,2113,2118,281601,2495
01/03/2021,129033,122822,2070,2071,207368,1695
01/04/2021,624026,569426,41788,41798,177865,2099
01/05/2021,784270,688926,82040,82047,233398,3638
01/06/2021,977493,794882,165437,165450,251094,3843
01/07/2021,1118324,828956,268037,268041,281690,4154
01/08/2021,1180729,808575,349430,349439,314861,3642
01/09/2021,485995,355146,123395,123397,245699,3498
01/10/2021,236075,165830,66711,66713,218743,2263
01/11/2021,1019982,689251,312188,312198,201665,2298
01/12/2021,1195526,871581,304226,304239,221561,4221
01/13/2021,1268225,988526,261615,261625,224532,4121
01/14/2021,1258123,1113325,128193,128201,226587,3891
01/15/2021,1201377,1076040,112680,112690,246950,3617
01/16/2021,623565,551306,67219,67226,214063,3512
01/17/2021,290696,249486,39022,39022,185572,2046
01/18/2021,827708,608885,212317,212326,150690,1967
01/19/2021,1285653,938068,332156,332161,148601,2333
01/20/2021,1548690,1132426,397131,397136,188590,4290
01/21/2021,1563177,1288541,254721,254740,189463,3948
01/22/2021,1561295,1348172,195857,195870,191415,3812
01/23/2021,873944,722914,140716,140719,171248,3288
01/24/2021,377703,291615,81567,81570,140229,2086
01/25/2021,1298031,826404,455132,455139,134641,2201
01/26/2021,1595773,1032512,542600,542611,149509,3725
01/27/2021,1849660,1215101,608155,608164,157083,3917
01/28/2021,1874485,1334548,519666,519692,158567,3618
01/29/2021,1825807,1327642,464321,464331,149468,3481
01/30/2021,981591,742957,226870,226871,155384,2816
01/31/2021,438928,317866,115600,115602,112904,2066
02/01/2021,1247064,709459,518922,518948,126331,1868
02/02/2021,1598111,929719,649080,649101,118741,3353
02/03/2021,2040927,1230467,783537,783553,119369,3584
02/04/2021,2228622,1348835,855095,855119,126581,3466
02/05/2021,2237700,1320398,897469,897497,127841,3413
