Date,New Cases,New Deaths,sum_residents_weekly_confirmed,sum_residents_weekly_covid_19,sum_staff_weekly_confirmed_covid,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Daily Count of People Fully Vaccinated
12/13/2020,183088,1573,3902.85714285714,3902.85714285714,12887.8571428571,229,229,0,0
12/14/2020,199734,1847,3902.85714285714,3902.85714285714,12887.8571428571,0,0,0,0
12/15/2020,198853,2963,3902.85714285714,3902.85714285714,12887.8571428571,0,0,0,0
12/16/2020,245461,3465,3902.85714285714,3902.85714285714,12887.8571428571,0,0,0,0
12/17/2020,249485,3432,3902.85714285714,3902.85714285714,12887.8571428571,5,5,0,0
12/18/2020,239380,2745,3902.85714285714,3902.85714285714,12887.8571428571,1518,1319,0,0
12/19/2020,200759,2622,3902.85714285714,3902.85714285714,12887.8571428571,323,323,0,0
12/20/2020,194600,1727,823.714285714286,4726.57142857143,1571.85714285714,211,211,0,0
12/21/2020,186071,1902,823.714285714286,4726.57142857143,1571.85714285714,14166,14002,0,0
12/22/2020,200675,3240,823.714285714286,4726.57142857143,1571.85714285714,16783,16561,9,9
12/23/2020,233319,3445,823.714285714286,4726.57142857143,1571.85714285714,22750,20179,13,13
12/24/2020,197701,2824,823.714285714286,4726.57142857143,1571.85714285714,2042,2026,16,16
12/25/2020,136582,1626,823.714285714286,4726.57142857143,1571.85714285714,115,115,0,0
12/26/2020,182016,1548,823.714285714286,4726.57142857143,1571.85714285714,9368,9241,13,13
12/27/2020,147703,1659,775.142857142857,5501.71428571429,1337,8952,8825,8,8
12/28/2020,177696,1963,775.142857142857,5501.71428571429,1337,59723,59113,20,20
12/29/2020,206128,3470,775.142857142857,5501.71428571429,1337,79448,78317,75,75
12/30/2020,236598,3742,775.142857142857,5501.71428571429,1337,77472,76376,247,247
12/31/2020,232690,3254,775.142857142857,5501.71428571429,1337,16134,16057,70,70
01/01/2021,175188,2491,775.142857142857,5501.71428571429,1337,1609,1605,4,4
01/02/2021,281601,2495,775.142857142857,5501.71428571429,1337,46545,45829,38,38
01/03/2021,207368,1695,713.571428571429,6215.28571428571,991.857142857143,32545,31859,57,57
01/04/2021,177865,2099,713.571428571429,6215.28571428571,991.857142857143,85775,84880,58,58
01/05/2021,233398,3638,713.571428571429,6215.28571428571,991.857142857143,96700,96104,103,103
01/06/2021,251094,3843,713.571428571429,6215.28571428571,991.857142857143,94867,93980,174,174
