Date,People Fully Vaccinated Cumulative
12/13/2020,0
12/14/2020,0
12/15/2020,0
12/16/2020,0
12/17/2020,0
12/18/2020,0
12/19/2020,0
12/20/2020,0
12/21/2020,0
12/22/2020,9
12/23/2020,22
12/24/2020,38
12/25/2020,38
12/26/2020,51
12/27/2020,59
12/28/2020,79
12/29/2020,154
12/30/2020,401
12/31/2020,471
01/01/2021,475
01/02/2021,513
01/03/2021,570
01/04/2021,628
01/05/2021,731
01/06/2021,905
01/07/2021,1246
01/08/2021,2494
01/09/2021,2831
01/10/2021,3114
01/11/2021,14487
01/12/2021,27897
01/13/2021,43698
01/14/2021,46684
01/15/2021,48147
01/16/2021,55214
01/17/2021,60867
01/18/2021,101366
01/19/2021,148976
01/20/2021,192390
01/21/2021,203372
01/22/2021,207843
01/23/2021,235876
01/24/2021,255237
01/25/2021,312887
01/26/2021,383130
01/27/2021,453739
01/28/2021,525109
01/29/2021,588249
01/30/2021,623199
01/31/2021,647673
02/01/2021,732712
02/02/2021,823130
02/03/2021,919953
02/04/2021,1023264
02/05/2021,1119826
02/06/2021,1169442
02/07/2021,1204188
02/08/2021,1291174
02/09/2021,1384240
02/10/2021,1483634
02/11/2021,1579691
02/12/2021,1665805
02/13/2021,1708068
02/14/2021,1736035
02/15/2021,1802562
02/16/2021,1872540
02/17/2021,1948351
02/18/2021,2021649
02/19/2021,2094796
02/20/2021,2135379
02/21/2021,2164377
02/22/2021,2228605
02/23/2021,2291068
02/24/2021,2357569
02/25/2021,2424945
02/26/2021,2471652
02/27/2021,2500409
02/28/2021,2515497
03/01/2021,2540038
03/02/2021,2565770
03/03/2021,2593869
03/04/2021,2622630
03/05/2021,2649145
03/06/2021,2660493
03/07/2021,2667633
03/08/2021,2683924
03/09/2021,2701461
03/10/2021,2717270
03/11/2021,2732649
03/12/2021,2747022
03/13/2021,2754516
03/14/2021,2760553
03/15/2021,2770555
03/16/2021,2779864
03/17/2021,2789752
03/18/2021,2799690
03/19/2021,2808963
03/20/2021,2813978
03/21/2021,2816359
03/22/2021,2821363
03/23/2021,2825651
03/24/2021,2830252
03/25/2021,2834925
03/26/2021,2838701
03/27/2021,2839902
03/28/2021,2840648
03/29/2021,2842901
03/30/2021,2845442
03/31/2021,2847651
04/01/2021,2849360
04/02/2021,2850985
04/03/2021,2851351
04/04/2021,2851445
04/05/2021,2852552
04/06/2021,2854163
04/07/2021,2855324
04/08/2021,2855368
04/09/2021,2855368
