Date,People Fully Vaccinated Cumulative
12/13/2020,1416
12/14/2020,1428
12/15/2020,1457
12/16/2020,1664
12/17/2020,2167
12/18/2020,2760
12/19/2020,3471
12/20/2020,4006
12/21/2020,4826
12/22/2020,6897
12/23/2020,8529
12/24/2020,9382
12/25/2020,9428
12/26/2020,9770
12/27/2020,10087
12/28/2020,12361
12/29/2020,15327
12/30/2020,20368
12/31/2020,22305
01/01/2021,23676
01/02/2021,25794
01/03/2021,27865
01/04/2021,69663
01/05/2021,151710
01/06/2021,317160
01/07/2021,585201
01/08/2021,934640
01/09/2021,1058037
01/10/2021,1124750
01/11/2021,1436948
01/12/2021,1741187
01/13/2021,2002812
01/14/2021,2131013
01/15/2021,2243703
01/16/2021,2310929
01/17/2021,2349951
01/18/2021,2562277
01/19/2021,2894438
01/20/2021,3291574
01/21/2021,3546314
01/22/2021,3742184
01/23/2021,3882903
01/24/2021,3964473
01/25/2021,4419612
01/26/2021,4962223
01/27/2021,5570387
01/28/2021,6090079
01/29/2021,6554410
01/30/2021,6781281
01/31/2021,6896883
02/01/2021,7415831
02/02/2021,8064932
02/03/2021,8848485
02/04/2021,9703604
02/05/2021,10601101
02/06/2021,10998111
02/07/2021,11144430
02/08/2021,11799532
02/09/2021,12636596
02/10/2021,13605376
02/11/2021,14628000
02/12/2021,15722225
02/13/2021,16272047
02/14/2021,16489441
02/15/2021,16984481
02/16/2021,17731662
02/17/2021,18676847
02/18/2021,19597667
02/19/2021,20627986
02/20/2021,21271882
02/21/2021,21568730
02/22/2021,22315609
02/23/2021,23270894
02/24/2021,24415510
02/25/2021,25659128
02/26/2021,26940040
02/27/2021,27702748
02/28/2021,27969064
03/01/2021,28667040
03/02/2021,29543838
03/03/2021,30590090
03/04/2021,31726856
03/05/2021,32924437
03/06/2021,33722571
03/07/2021,34036061
03/08/2021,34814483
03/09/2021,35803047
03/10/2021,36983465
03/11/2021,38283784
03/12/2021,39673270
03/13/2021,40595208
03/14/2021,40962385
03/15/2021,41758638
03/16/2021,42721467
03/17/2021,43753911
03/18/2021,44838168
03/19/2021,45931735
03/20/2021,46698224
03/21/2021,47033149
03/22/2021,47759346
03/23/2021,48792850
03/24/2021,50080778
03/25/2021,51558862
03/26/2021,53165215
03/27/2021,54212514
03/28/2021,54704292
03/29/2021,55830704
03/30/2021,57257518
03/31/2021,58954499
04/01/2021,60875228
04/02/2021,62431650
04/03/2021,63418477
04/04/2021,63726770
04/05/2021,65068416
04/06/2021,66626361
04/07/2021,67959746
04/08/2021,68202461
04/09/2021,68202461
