Date,vf_LTC
12/13/2020,0
12/14/2020,0
12/15/2020,0
12/16/2020,0
12/17/2020,0
12/18/2020,0
12/19/2020,0
12/20/2020,0
12/21/2020,0
12/22/2020,1.8e-06
12/23/2020,4.4e-06
12/24/2020,7.6e-06
12/25/2020,7.6e-06
12/26/2020,1.02e-05
12/27/2020,1.18e-05
12/28/2020,1.58e-05
12/29/2020,3.08e-05
12/30/2020,8.02e-05
12/31/2020,9.42e-05
01/01/2021,9.5e-05
01/02/2021,0.0001026
01/03/2021,0.000114
01/04/2021,0.0001256
01/05/2021,0.0001462
01/06/2021,0.000181
01/07/2021,0.0002492
01/08/2021,0.0004988
01/09/2021,0.0005662
01/10/2021,0.0006228
01/11/2021,0.0028974
01/12/2021,0.0055794
01/13/2021,0.0087396
01/14/2021,0.0093368
01/15/2021,0.0096294
01/16/2021,0.0110428
01/17/2021,0.0121734
01/18/2021,0.0202732
01/19/2021,0.0297952
01/20/2021,0.038478
01/21/2021,0.0406744
01/22/2021,0.0415686
01/23/2021,0.0471752
01/24/2021,0.0510474
01/25/2021,0.0625774
01/26/2021,0.076626
01/27/2021,0.0907478
01/28/2021,0.1050218
01/29/2021,0.1176498
01/30/2021,0.1246398
01/31/2021,0.1295346
02/01/2021,0.1465424
02/02/2021,0.164626
02/03/2021,0.1839906
02/04/2021,0.2046528
02/05/2021,0.2239652
02/06/2021,0.2338884
02/07/2021,0.2408376
02/08/2021,0.2582348
02/09/2021,0.276848
02/10/2021,0.2967268
02/11/2021,0.3159382
02/12/2021,0.333161
02/13/2021,0.3416136
02/14/2021,0.347207
02/15/2021,0.3605124
02/16/2021,0.374508
02/17/2021,0.3896702
02/18/2021,0.4043298
02/19/2021,0.4189592
02/20/2021,0.4270758
02/21/2021,0.4328754
02/22/2021,0.445721
02/23/2021,0.4582136
02/24/2021,0.4715138
02/25/2021,0.484989
02/26/2021,0.4943304
02/27/2021,0.5000818
02/28/2021,0.5030994
03/01/2021,0.5080076
03/02/2021,0.513154
03/03/2021,0.5187738
03/04/2021,0.524526
03/05/2021,0.529829
03/06/2021,0.5320986
03/07/2021,0.5335266
03/08/2021,0.5367848
03/09/2021,0.5402922
03/10/2021,0.543454
03/11/2021,0.5465298
03/12/2021,0.5494044
03/13/2021,0.5509032
03/14/2021,0.5521106
03/15/2021,0.554111
03/16/2021,0.5559728
03/17/2021,0.5579504
03/18/2021,0.559938
03/19/2021,0.5617926
03/20/2021,0.5627956
03/21/2021,0.5632718
03/22/2021,0.5642726
03/23/2021,0.5651302
03/24/2021,0.5660504
03/25/2021,0.566985
03/26/2021,0.5677402
03/27/2021,0.5679804
03/28/2021,0.5681296
03/29/2021,0.5685802
03/30/2021,0.5690884
03/31/2021,0.5695302
04/01/2021,0.569872
04/02/2021,0.570197
04/03/2021,0.5702702
04/04/2021,0.570289
04/05/2021,0.5705104
04/06/2021,0.5708326
04/07/2021,0.5710648
04/08/2021,0.5710736
04/09/2021,0.5710736
